Mechanism,NOx.Emissions,Temperature,HO2
RADM2,255009728,288.00,15.0638581469797
RADM2,1741710.5,288.00,9.28003680844558
RADM2,5346085.5,288.00,13.1264868766245
RADM2,9083699,288.00,14.9062238247177
RADM2,12935643,288.00,15.9158936030579
RADM2,16892162,288.00,16.5777599980821
RADM2,20946400,288.00,17.0499395851786
RADM2,25093106,288.00,17.4041545064618
RADM2,29327402,288.00,17.6777949917328
RADM2,33644964,288.00,17.8923785509877
RADM2,38041548,288.00,18.0612816369496
RADM2,42513752,288.00,18.1933548087931
RADM2,47058188,288.00,18.2947927640509
RADM2,51671808,288.00,18.3700797629083
RADM2,56351548,288.00,18.4226314758895
RADM2,61094928,288.00,18.4551748882988
RADM2,65899456,288.00,18.4701681033017
RADM2,70762928,288.00,18.468959001039
RADM2,75683352,288.00,18.4531712826841
RADM2,80659448,288.00,18.4241320116962
RADM2,85690360,288.00,18.382954880547
RADM2,90775000,288.00,18.3346272192297
RADM2,95911704,288.00,18.2800163894825
RADM2,101097368,288.00,18.2161161155214
RADM2,106328392,288.00,18.1435907964378
RADM2,111601200,288.00,18.0630493201717
RADM2,116912432,288.00,17.9750450635119
RADM2,122259640,288.00,17.8800915046073
RADM2,127640496,288.00,17.7786604882435
RADM2,133053312,288.00,17.6711978383537
RADM2,138496928,288.00,17.5581927469581
RADM2,143969696,288.00,17.4504004996079
RADM2,149470240,288.00,17.3378065376761
RADM2,154998304,288.00,17.2206901516425
RADM2,160552512,288.00,17.0993566528388
RADM2,166131296,288.00,16.9740835970211
RADM2,171734256,288.00,16.8451381316048
RADM2,177360464,288.00,16.7187357708043
RADM2,183008784,288.00,16.5957716319332
RADM2,188678080,288.00,16.4698549937059
RADM2,194367072,288.00,16.3411888187692
RADM2,200074752,288.00,16.2099691308759
RADM2,205800912,288.00,16.0825346096072
RADM2,211543152,288.00,15.9610102912211
RADM2,217299984,288.00,15.8374233866221
RADM2,223070464,288.00,15.711926551476
RADM2,228854432,288.00,15.5846620331079
RADM2,234650272,288.00,15.4696082332872
RADM2,240456368,288.00,15.354592597383
RADM2,246271504,288.00,15.2381354062703
RADM2,252095152,288.00,15.120345947528
RADM2,313501184,288.00,14.1214149748659
RADM2,371817408,288.00,13.5352536470568
RADM2,429397024,288.00,13.2075808623178
RADM2,485932480,288.00,12.9323054001707
RADM2,541284544,288.00,12.7572891486794
RADM2,595417536,288.00,12.5658190450184
RADM2,648340864,288.00,12.3609308552708
RADM2,700102976,288.00,12.2217340414732
RADM2,750766272,288.00,12.1194911745226
RADM2,800397760,288.00,12.0090569433184
RADM2,849062272,288.00,11.8914869270959
RADM2,896821568,288.00,11.7678627259421
RADM2,943722368,288.00,11.6387802173712
RADM2,989835584,288.00,11.5051102325681
RADM2,1035211200,288.00,11.3673896684485
RADM2,1079893120,288.00,11.226186646951
RADM2,1123933568,288.00,11.1364858307317
RADM2,1167362304,288.00,11.0826061869296
RADM2,1210214784,288.00,11.025708991641
RADM2,1252520064,288.00,10.9660665964517
RADM2,1294304640,288.00,10.9039305362657
RADM2,1335591808,288.00,10.8395376008374
RADM2,1376407168,288.00,10.773099426431
RADM2,1416772480,288.00,10.7048068326288
RADM2,1456720768,288.00,10.6348289549696
RADM2,1496247936,288.00,10.5633193164811
RADM2,1535377792,288.00,10.4904192971267
RADM2,1574119936,288.00,10.41625553172
RADM2,1612484736,288.00,10.3409442467339
RADM2,1650488960,288.00,10.2645938623858
RADM2,1688143744,288.00,10.1873023905519
RADM2,1725458304,288.00,10.1091617715765
RADM2,1762448000,288.00,10.03025700691
RADM2,1799124864,288.00,9.95066702647041
RADM2,1835502976,288.00,9.87062428320362
RADM2,1871579520,288.00,9.79002989787148
RADM2,1907360384,288.00,9.7089575962217
RADM2,1942864384,288.00,9.62746722621421
RADM2,1978084096,288.00,9.54561429900025
RADM2,2013027328,288.00,9.46345172364582
RADM2,1758476.125,288.50,9.32011672699629
RADM2,5398095.5,288.50,13.198430195982
RADM2,9172877,288.50,14.9962629120148
RADM2,13063672,288.50,16.0166931800765
RADM2,17060618,288.50,16.6857447997382
RADM2,21156748,288.50,17.1631493739444
RADM2,25346740,288.50,17.5213697717336
RADM2,29625678,288.50,17.7982056176473
RADM2,33989104,288.50,18.0153999357335
RADM2,38432828,288.50,18.1864731607639
RADM2,42953356,288.50,18.3203799353215
RADM2,47547396,288.50,18.4233808764311
RADM2,52211760,288.50,18.5000157554294
RADM2,56943544,288.50,18.5537245289691
RADM2,61740056,288.50,18.5872376518015
RADM2,66598916,288.50,18.6029611853877
RADM2,71517880,288.50,18.6025968934578
RADM2,76495288,288.50,18.5874735741942
