Mechanism,NOx.Emissions,Temperature,O3,H2O2,OH,HO2,HCHO,RO2NO2,RONO2,HNO3
CRI,2881002.5,288.00,40,0.0427256285906452,0.0268951527715444,5.03882959662638,0.643164077551717,0.0168210341489061,0.0116692436963328,0.000327101383089043
CRI,6876656,288.00,40,0.0604687203087373,0.0309636993508274,6.25575546225887,0.674485745033593,0.038513976730048,0.0257418565630108,0.00100557854144229
CRI,8961730,288.00,40,0.0686153078799379,0.0334147823072197,6.72944642718387,0.694604429529733,0.0492245862127039,0.031657603621893,0.0014659381564544
CRI,13323656,288.00,40,0.082090181874328,0.0390133448279189,7.42325471925209,0.75718531444835,0.0710631276046314,0.0427474305952913,0.00265442203807587
CRI,17948848,288.00,40,0.0924633217214144,0.0451615910738046,7.89694351577275,0.841088532155254,0.0935517496802873,0.053928434634587,0.0042272396520715
CRI,20361564,288.00,40,0.0968078742169531,0.0483775786628855,8.08219290104883,0.88658080876769,0.105057379462536,0.0598041130506211,0.00516583954432437
CRI,25388700,288.00,40,0.104286260182995,0.0550044019121017,8.38501143518577,0.983830461542823,0.12857404030342,0.0724068582869108,0.00735827457992722
CRI,30685396,288.00,40,0.110557507593256,0.0617909044244025,8.63039414239486,1.08654496511207,0.152708401479629,0.0864045224258092,0.00997830637561314
CRI,33434626,288.00,40,0.113343459617887,0.0652150791593913,8.7374144377983,1.13985387795168,0.164979085948147,0.0940386449266306,0.0114491775435321
CRI,36250828,288.00,40,0.115933318500794,0.0686378783128737,8.83528580158943,1.1939205180056,0.177365802600526,0.102096629761572,0.0130264323633389
CRI,45096080,288.00,40,0.122707177752091,0.078898984513711,9.08477633398963,1.35995958938651,0.21508503311729,0.128982102776121,0.0183816729198982
CRI,48174296,288.00,40,0.124677615453983,0.0823296644617347,9.15576468807355,1.41634848294103,0.227796642660039,0.138891009804354,0.0203675271093218
CRI,54519612,288.00,40,0.128250396413954,0.0890866021360445,9.28252093246318,1.5301953038005,0.25332219655283,0.160162660911567,0.0246234994200067
CRI,61108708,288.00,40.1842842102051,0.131313571127833,0.0956598149759631,9.39137830002768,1.64491775755948,0.27887162024065,0.183371262618692,0.0292363772080861
CRI,64491124,288.00,40.3765029907227,0.132661950869029,0.0988640118664182,9.43965045019368,1.7024334164617,0.291622614945197,0.195698929283949,0.031667852368189
CRI,71423736,288.00,40.7651634216309,0.135032665604662,0.105085956754979,9.52471521792342,1.81738313287383,0.317004700267631,0.221760290686213,0.0367619892860382
CRI,78569064,288.00,41.1571769714355,0.136987213239514,0.1110367426802,9.59527943211747,1.93167482009926,0.342122080665419,0.249588710810045,0.0421380742798849
CRI,82217000,288.00,41.3536376953125,0.1378065439539,0.113904138942036,9.62536734344654,1.98837390996687,0.354546558778424,0.264116811754533,0.0449220209641776
CRI,89653816,288.00,41.7458610534668,0.139136063781464,0.119414745561493,9.67564743603599,2.10045292270422,0.37905906191682,0.294278157397798,0.0506956421286731
CRI,97266560,288.00,42.1466484069824,0.140063086129238,0.124620244137084,9.7129006226826,2.21040385994797,0.403071104271291,0.325758253705288,0.0567056956946033
CRI,101134224,288.00,42.3875350952148,0.140379818880376,0.127107349710658,9.72675412436175,2.2644166541852,0.41486597490703,0.341986050589327,0.059782526151686
CRI,108983072,288.00,42.8897895812988,0.140728595443562,0.131850341191994,9.74510749873758,2.37022623750249,0.437996416913222,0.375424774601285,0.0660630300464149
CRI,116971656,288.00,43.3882064819336,0.140711678420224,0.136287072664658,9.75123020524604,2.47273890252586,0.460473659202876,0.409697720193947,0.0724912074812067
CRI,121014160,288.00,43.6392555236816,0.140571845830273,0.138391983419903,9.74978691531403,2.52264298339355,0.471585104300232,0.427067492481115,0.0757531051776006
CRI,129188320,288.00,44.1478462219238,0.140042644147798,0.142456535391806,9.74535036002422,2.61955923619439,0.493556973069076,0.462115984367628,0.0823583631848201
CRI,137472528,288.00,44.6416511535645,0.139200151405561,0.146386334586197,9.7364772494446,2.71241740179562,0.514840448051501,0.497370256091756,0.0890545068243931
CRI,141652912,288.00,44.8824653625488,0.138757907941489,0.148244914607853,9.72847843949687,2.75726286247391,0.525216814484253,0.514998987899418,0.0924303897309464
CRI,150085056,288.00,45.353401184082,0.137767963703794,0.151754761643259,9.70549335344018,2.84757062374297,0.545428591181008,0.550117451592058,0.0992265922206137
CRI,158605536,288.00,45.8284568786621,0.136533451211562,0.154994655890243,9.67337061147377,2.93539259565989,0.564911062372886,0.584871540088017,0.108737963078198
CRI,162897024,288.00,46.0586318969727,0.135831373926365,0.156516198114055,9.6539547189689,2.97781488356463,0.574377934103865,0.602051464237974,0.114707715548334
CRI,2935199,288.50,40,0.0436294889105682,0.0278179155464809,5.09819140029344,0.650979603555868,0.017303339316932,0.0116409737752066,0.000347362356977257
CRI,7006619,288.50,40,0.0618475132219132,0.0320502528867745,6.33138637004538,0.68282179910284,0.0395338969894077,0.025762853655964,0.00106788341190656
CRI,9131332,288.50,40,0.0702065697244514,0.0345966338259965,6.8110621309625,0.703293701054264,0.0504939458301212,0.0317315791698025,0.00155646784523455
CRI,13576163,288.50,40,0.0840423425296777,0.0403900207008277,7.51435025314606,0.769311170323306,0.0728108684455719,0.0429376152688565,0.00281667679631614
CRI,18288958,288.50,40,0.0947001088658084,0.0467481820398338,7.99495625952718,0.85519136217016,0.0957706761117727,0.054295404977589,0.00448200504488128
CRI,20747204,288.50,40,0.0991648707593384,0.0500683411288998,8.18299247806742,0.901847097001252,0.107510889080231,0.0602748059796987,0.0054746194556865
