Mechanism,NOx.Emissions,Temperature,O3
CRI,46796988,289.00,39.3558883666992
CRI,49986508,289.00,39.5440864562988
CRI,53240728,289.00,39.7352027893066
CRI,56558496,289.00,39.9288558959961
CRI,59938348,289.00,40.1247978210449
CRI,63378784,289.00,40.3227691650391
CRI,66878112,289.00,40.5224685668945
CRI,70434656,289.00,40.7235794067383
CRI,74046672,289.00,40.9257774353027
CRI,77712512,289.00,41.1286163330078
CRI,81430184,289.00,41.3318252563477
CRI,85197664,289.00,41.5351409912109
CRI,89013056,289.00,41.7381935119629
CRI,92874264,289.00,41.9406700134277
CRI,96779616,289.00,42.1538429260254
CRI,100727096,289.00,42.4037895202637
CRI,104714656,289.00,42.6625938415527
CRI,108740528,289.00,42.9252052307129
CRI,112802880,289.00,43.1855278015137
CRI,116899960,289.00,43.4432601928711
CRI,121030000,289.00,43.7052536010742
CRI,125191616,289.00,43.9715614318848
CRI,129383048,289.00,44.2344245910645
CRI,133603280,289.00,44.4935874938965
CRI,137850704,289.00,44.7488212585449
CRI,142124480,289.00,44.9998931884766
CRI,146423344,289.00,45.2466125488281
CRI,150746128,289.00,45.4928016662598
CRI,155091840,289.00,45.7430839538574
CRI,159459808,289.00,45.9884834289551
CRI,163849168,289.00,46.2288284301758
CRI,168258992,289.00,46.4640083312988
CRI,170471424,289.00,46.5796241760254
CRI,215645760,289.00,48.6396064758301
CRI,262229264,289.00,50.1908988952637
CRI,309765568,289.00,51.2738647460938
CRI,357865728,289.00,51.890193939209
CRI,406204480,289.00,52.2050361633301
CRI,454533664,289.00,52.2036666870117
CRI,502665376,289.00,52.0408058166504
CRI,550460032,289.00,51.6921043395996
CRI,597818048,289.00,51.2570648193359
CRI,644665280,289.00,50.7315979003906
CRI,690954240,289.00,50.1444129943848
CRI,736654656,289.00,49.5415916442871
CRI,781750720,289.00,48.8913688659668
CRI,826243136,289.00,48.2460861206055
CRI,870128128,289.00,47.5964393615723
CRI,913409408,289.00,46.9285659790039
CRI,956094656,289.00,46.2863845825195
CRI,998190720,289.00,45.6519584655762
CRI,1039721344,289.00,45.0128059387207
CRI,1080690816,289.00,44.3906555175781
CRI,1121112320,289.00,43.8001022338867
CRI,1161001472,289.00,43.2102165222168
CRI,1200372608,289.00,42.6234130859375
CRI,1239238016,289.00,42.0665893554688
CRI,1277611648,289.00,41.5348472595215
CRI,1315505152,289.00,41.0074729919434
CRI,1352933632,289.00,40.4856338500977
CRI,1389905920,289.00,39.9720497131348
CRI,1426434304,289.00,39.5055885314941
CRI,1462526336,289.00,39.0441589355469
CRI,1498196608,289.00,38.5883903503418
CRI,1533457536,289.00,38.1387977600098
CRI,1568318208,289.00,37.6957931518555
CRI,1602786688,289.00,37.2829551696777
CRI,1636874368,289.00,36.890754699707
CRI,1670592256,289.00,36.5037956237793
CRI,1703946368,289.00,36.1223068237305
CRI,1736943616,289.00,35.7464714050293
CRI,1769595264,289.00,35.3764152526855
CRI,1801909632,289.00,35.0178642272949
CRI,1007460.375,289.50,36.7914276123047
CRI,3046614.5,289.50,36.8785133361816
CRI,5131567,289.50,36.9717750549316
CRI,7273956,289.50,37.0738182067871
CRI,9480297,289.50,37.1853065490723
CRI,11753747,289.50,37.305549621582
CRI,14095878,289.50,37.4336395263672
CRI,16507527,289.50,37.5687942504883
CRI,18989214,289.50,37.7104034423828
CRI,21541328,289.50,37.8580322265625
CRI,24164044,289.50,38.011302947998
CRI,26857484,289.50,38.1699447631836
CRI,29621652,289.50,38.333683013916
CRI,32456360,289.50,38.5022621154785
CRI,35361348,289.50,38.6754417419434
CRI,38336204,289.50,38.8529472351074
CRI,41380364,289.50,39.0345001220703
CRI,44493040,289.50,39.2198753356934
CRI,47673392,289.50,39.4088020324707
CRI,50920256,289.50,39.601016998291
CRI,54232652,289.50,39.7961082458496
CRI,57609152,289.50,39.993766784668
CRI,61048332,289.50,40.1936798095703
CRI,64548568,289.50,40.3955955505371
CRI,68108096,289.50,40.5992088317871
CRI,71725360,289.50,40.8041915893555
CRI,75398352,289.50,41.0101890563965
CRI,79125464,289.50,41.2167129516602
CRI,82904456,289.50,41.423583984375
CRI,86733584,289.50,41.6304893493652
CRI,90610640,289.50,41.8370933532715
CRI,94533696,289.50,42.0430068969727
CRI,98500784,289.50,42.2848205566406
CRI,102509976,289.50,42.5411186218262
CRI,106559232,289.50,42.8098411560059
CRI,110646744,289.50,43.0764846801758
CRI,114770656,289.50,43.3407249450684
CRI,118929192,289.50,43.6024475097656
CRI,123120584,289.50,43.8758010864258
CRI,127343344,289.50,44.1458549499512
CRI,131596072,289.50,44.4123420715332
CRI,135877264,289.50,44.6750144958496
CRI,140186048,289.50,44.9336357116699
CRI,144520944,289.50,45.1879806518555
CRI,148880688,289.50,45.4378547668457
CRI,153264496,289.50,45.6941909790039
CRI,157671616,289.50,45.9474945068359
CRI,162100784,289.50,46.1957969665527
CRI,166551232,289.50,46.43896484375
CRI,171022272,289.50,46.676872253418
CRI,173265264,289.50,46.7938079833984
CRI,219059904,289.50,48.8808746337891
CRI,266275456,289.50,50.4445571899414
CRI,314445024,289.50,51.5363540649414
CRI,363172416,289.50,52.1535339355469
CRI,412126848,289.50,52.4626312255859
CRI,461057856,289.50,52.4520835876465
CRI,509776928,289.50,52.2791709899902
CRI,558140160,289.50,51.9177322387695
CRI,606049536,289.50,51.4701499938965
CRI,653429952,289.50,50.9308738708496
CRI,700234048,289.50,50.3310203552246
CRI,746432832,289.50,49.7146606445312
CRI,792011584,289.50,49.0510940551758
CRI,836970688,289.50,48.3950843811035
CRI,881305216,289.50,47.7329521179199
CRI,925022976,289.50,47.0529518127441
CRI,968131392,289.50,46.4027290344238
CRI,1010644608,289.50,45.7577095031738
CRI,1052572096,289.50,45.1078605651855
CRI,1093927680,289.50,44.4805755615234
CRI,1134725632,289.50,43.8804626464844
CRI,1174981248,289.50,43.2813873291016
CRI,1214708352,289.50,42.6857452392578
CRI,1253921792,289.50,42.1271438598633
CRI,1292634240,289.50,41.587459564209
CRI,1330859904,289.50,41.0524444580078
CRI,1368610816,289.50,40.5232620239258
CRI,1405898624,289.50,40.0106544494629
CRI,1442732928,289.50,39.5375518798828
CRI,1479126016,289.50,39.0697174072266
CRI,1515091968,289.50,38.6077995300293
CRI,1550641792,289.50,38.1523056030273
CRI,1585784960,289.50,37.7036323547363
CRI,1620534784,289.50,37.2947006225586
CRI,1654896256,289.50,36.897346496582
CRI,1688881152,289.50,36.5054244995117
CRI,1722499200,289.50,36.1191520690918
CRI,1755756160,289.50,35.7387161254883
CRI,1788664192,289.50,35.3642234802246
CRI,1821227520,289.50,35.0112648010254
CRI,1026315.5625,290.00,36.783145904541
CRI,3103846.5,290.00,36.8729972839355
CRI,5228277,290.00,36.9689865112305
CRI,7411381.5,290.00,37.0738220214844
CRI,9659720,290.00,37.1882133483887
CRI,11976476,290.00,37.3114967346191
CRI,14363185,290.00,37.4427604675293
CRI,16820710,290.00,37.5812110900879
CRI,19349524,290.00,37.726245880127
CRI,21949978,290.00,37.8774147033691
CRI,24622274,290.00,38.0343360900879
CRI,27366462,290.00,38.196720123291
CRI,30182530,290.00,38.3642883300781
CRI,33070270,290.00,38.5367736816406
CRI,36029384,290.00,38.7139358520508
CRI,39059356,290.00,38.8954734802246
CRI,42159584,290.00,39.0811004638672
CRI,45329228,290.00,39.2705841064453
CRI,48567404,290.00,39.4636421203613
CRI,51872892,290.00,39.659969329834
CRI,55244616,290.00,39.8591918945312
CRI,58681084,290.00,40.0609741210938
CRI,62180792,290.00,40.2649841308594
CRI,65742032,290.00,40.4709625244141
CRI,69363080,290.00,40.6786003112793
CRI,73042160,290.00,40.8875617980957
CRI,76777416,290.00,41.0974502563477
CRI,80566968,290.00,41.3078269958496
CRI,84408648,290.00,41.518482208252
CRI,88300496,290.00,41.7290954589844
CRI,92240512,290.00,41.9393463134766
CRI,96226560,290.00,42.1605834960938
CRI,100256568,290.00,42.420223236084
CRI,104328680,290.00,42.6889801025391
CRI,108440904,290.00,42.9620094299316
CRI,112591176,290.00,43.232837677002
CRI,116777896,290.00,43.501148223877
CRI,120998960,290.00,43.7746315002441
CRI,125252904,290.00,44.0519981384277
CRI,129538168,290.00,44.3259468078613
CRI,133853288,290.00,44.5962142944336
CRI,138197040,290.00,44.8625411987305
CRI,142568144,290.00,45.124698638916
CRI,146965248,290.00,45.3824424743652
CRI,151387600,290.00,45.6408081054688
CRI,155833984,290.00,45.9022407531738
CRI,160303536,290.00,46.1587371826172
CRI,164795088,290.00,46.4101181030273
CRI,169308256,290.00,46.6562538146973
CRI,173841904,290.00,46.8970184326172
CRI,176116416,290.00,47.0153427124023
CRI,222547776,290.00,49.1307983398438
CRI,270413056,290.00,50.7080917358398
CRI,319233920,290.00,51.8093605041504
CRI,368606528,290.00,52.4276466369629
CRI,418193632,290.00,52.7313461303711
CRI,467744064,290.00,52.7118530273438
CRI,517065728,290.00,52.5283164978027
CRI,566013568,290.00,52.1540412902832
CRI,614488960,290.00,51.6931838989258
CRI,662415936,290.00,51.1398506164551
CRI,709748480,290.00,50.5265808105469
CRI,756458240,290.00,49.8963470458984
CRI,802530688,290.00,49.2190780639648
CRI,847966528,290.00,48.5515937805176
CRI,892760128,290.00,47.8765335083008
CRI,936926400,290.00,47.1842803955078
CRI,980469568,290.00,46.525562286377
CRI,1023400768,290.00,45.8692283630371
CRI,1065733568,290.00,45.2084655761719
CRI,1107483136,290.00,44.5754432678223
CRI,1148663424,290.00,43.9655380249023
CRI,1189290880,290.00,43.3570327758789
CRI,1229379840,290.00,42.7523384094238
CRI,1268945280,290.00,42.1914596557617
CRI,1308001408,290.00,41.6436462402344
CRI,1346561792,290.00,41.1008110046387
CRI,1384639232,290.00,40.5641021728516
CRI,1422242816,290.00,40.0520439147949
CRI,1459387520,290.00,39.5721473693848
CRI,1496086272,290.00,39.0977783203125
CRI,1532350720,290.00,38.6295776367188
CRI,1568192384,290.00,38.1680526733398
CRI,1603623168,290.00,37.7161827087402
CRI,1638653440,290.00,37.308235168457
CRI,1673293056,290.00,36.905632019043
CRI,1707547136,290.00,36.5086479187012
CRI,1741428608,290.00,36.117504119873
CRI,1774947072,290.00,35.7323722839355
CRI,1808109184,290.00,35.3533630371094
CRI,1840927488,290.00,35.0057411193848
CRI,1045502.5,290.50,36.7747955322266
CRI,3162101.25,290.50,36.8675193786621
CRI,5326740,290.50,36.9663391113281
CRI,7551318.5,290.50,37.0740623474121
CRI,9842458,290.50,37.191463470459
CRI,12203350,290.50,37.3178901672363
CRI,14635517,290.50,37.4524307250977
CRI,17139802,290.50,37.5942916870117
CRI,19716688,290.50,37.7428588867188
CRI,22366472,290.50,37.8976821899414
CRI,25089340,290.50,38.0583724975586
CRI,27885346,290.50,38.2246208190918
CRI,30754388,290.50,38.3961334228516
CRI,33696260,290.50,38.5726547241211
CRI,36710588,290.50,38.7539138793945
CRI,39796852,290.50,38.9396209716797
CRI,42954356,290.50,39.129451751709
CRI,46182160,290.50,39.3231735229492
CRI,49479360,290.50,39.5204849243164
CRI,52844636,290.50,39.7210578918457
CRI,56276928,290.50,39.9245376586914
CRI,59774544,290.50,40.1305732727051
CRI,63336032,290.50,40.3388061523438
CRI,66959576,290.50,40.5489807128906
CRI,70643360,290.50,40.7607727050781
CRI,74385472,290.50,40.9738464355469
CRI,78184184,290.50,41.1877250671387
CRI,82037400,290.50,41.4020729064941
CRI,85943056,290.50,41.616641998291
CRI,89898944,290.50,41.8310966491699
CRI,93903088,290.50,42.0451126098633
CRI,97953328,290.50,42.2961959838867
CRI,102047552,290.50,42.5624084472656
CRI,106183832,290.50,42.841854095459
CRI,110360120,290.50,43.1193351745605
CRI,114574480,290.50,43.3945045471191
CRI,118825048,290.50,43.6677856445312
CRI,123110032,290.50,43.9525833129883
CRI,127427712,290.50,44.2341270446777
CRI,131776744,290.50,44.5121307373047
CRI,136155568,290.50,44.7863311767578
CRI,140563104,290.50,45.056468963623
CRI,144997888,290.50,45.3222846984863
CRI,149458864,290.50,45.583553314209
CRI,153944960,290.50,45.852466583252
CRI,158455136,290.50,46.1173629760742
CRI,162988528,290.50,46.3772010803223
CRI,167544096,290.50,46.6318206787109
CRI,172121120,290.50,46.8810806274414
CRI,176719248,290.50,47.1248550415039
CRI,179025840,290.50,47.2446479797363
CRI,226111568,290.50,49.3898010253906
CRI,274645024,290.50,50.9820213317871
CRI,324135808,290.50,52.0934448242188
CRI,374171488,290.50,52.7130699157715
CRI,424409664,290.50,53.0117645263672
CRI,474597088,290.50,52.9835357666016
CRI,524537472,290.50,52.7888145446777
CRI,574085568,290.50,52.4015464782715
CRI,623142400,290.50,51.9266891479492
CRI,671630912,290.50,51.3590469360352
CRI,719506112,290.50,50.7315902709961
CRI,766739008,290.50,50.0871963500977
CRI,813316416,290.50,49.3958549499512
CRI,859237312,290.50,48.715892791748
CRI,904508608,290.50,48.0281372070312
CRI,949129664,290.50,47.3230590820312
CRI,993112960,290.50,46.6549072265625
CRI,1036470016,290.50,45.9869499206543
CRI,1079216128,290.50,45.3149642944336
CRI,1121366272,290.50,44.6755905151367
CRI,1162934912,290.50,44.0556373596191
CRI,1203939840,290.50,43.4374580383301
CRI,1244396160,290.50,42.8234596252441
CRI,1284317696,290.50,42.2597999572754
CRI,1323722752,290.50,41.7036628723145
CRI,1362621312,290.50,41.1528129577637
CRI,1401027584,290.50,40.6083793640137
CRI,1438952192,290.50,40.0964431762695
CRI,1476411520,290.50,39.6095962524414
CRI,1513417728,290.50,39.128547668457
CRI,1549982080,290.50,38.6539306640625
CRI,1586120064,290.50,38.1862411499023
CRI,1621839488,290.50,37.7372550964355
CRI,1657152384,290.50,37.3237495422363
CRI,1692065024,290.50,36.9157829284668
CRI,1726592256,290.50,36.5136413574219
CRI,1760742144,290.50,36.1175270080566
CRI,1794521984,290.50,35.7276039123535
CRI,1827942784,290.50,35.3439826965332
CRI,1861015680,290.50,35.0014533996582
CRI,1065024.25,291.00,36.7663803100586
CRI,3221388.75,291.00,36.8620719909668
CRI,5426970.5,291.00,36.9638252258301
CRI,7693808,291.00,37.0745544433594
CRI,10028556,291.00,37.1950645446777
CRI,12434422,291.00,37.3247375488281
CRI,14912935,291.00,37.4626655578613
CRI,17464900,291.00,37.6080474853516
CRI,20090800,291.00,37.7602691650391
CRI,22790902,291.00,37.9188652038574
CRI,25565366,291.00,38.083438873291
CRI,28414238,291.00,38.2536773681641
CRI,31337360,291.00,38.429271697998
CRI,34334456,291.00,38.6099472045898
CRI,37405176,291.00,38.7954406738281
CRI,40548868,291.00,38.9854431152344
CRI,43764828,291.00,39.1796112060547
CRI,47052008,291.00,39.3777046203613
CRI,50409404,291.00,39.5794143676758
CRI,53835816,291.00,39.7843589782715
CRI,57329840,291.00,39.9922370910645
CRI,60889940,291.00,40.2026596069336
CRI,64514428,291.00,40.4152526855469
CRI,68201528,291.00,40.6297569274902
CRI,71949240,291.00,40.8458442687988
CRI,75755728,291.00,41.0631561279297
CRI,79619176,291.00,41.2811584472656
CRI,83537328,291.00,41.4996147155762
CRI,87508064,291.00,41.7182159423828
CRI,91529256,291.00,41.936637878418
CRI,95598768,291.00,42.1662940979004
CRI,99714472,291.00,42.4364318847656
CRI,103874240,291.00,42.7157363891602
CRI,108075864,291.00,42.9999351501465
CRI,112317552,291.00,43.2820510864258
CRI,116597184,291.00,43.5617370605469
CRI,120912904,291.00,43.8473167419434
CRI,125262992,291.00,44.1365814208984
CRI,129645768,291.00,44.4224662780762
CRI,134059800,291.00,44.7046928405762
CRI,138503664,291.00,44.9829902648926
CRI,142976208,291.00,45.2570762634277
CRI,147476160,291.00,45.5266952514648
CRI,152002336,291.00,45.7978515625
CRI,156553552,291.00,46.0713768005371
CRI,161128992,291.00,46.3399085998535
CRI,165727600,291.00,46.6032600402832
CRI,170348688,291.00,46.8612785339355
CRI,174991520,291.00,47.113826751709
CRI,179655472,291.00,47.3607711791992
CRI,181995248,291.00,47.4821090698242
CRI,229753488,291.00,49.658390045166
CRI,278974080,291.00,51.2668418884277
CRI,329154240,291.00,52.38916015625
CRI,379871424,291.00,53.0103797912598
CRI,430779008,291.00,53.3044700622559
CRI,481621760,291.00,53.2676048278809
CRI,532197536,291.00,53.061222076416
CRI,582362368,291.00,52.660774230957
CRI,632016640,291.00,52.1713180541992
CRI,681080960,291.00,51.588981628418
CRI,729512640,291.00,50.946533203125
CRI,777281472,291.00,50.2875900268555
CRI,824377088,291.00,49.5818023681641
CRI,870799296,291.00,48.8889694213867
CRI,916551232,291.00,48.1877021789551
CRI,961637952,291.00,47.4694366455078
CRI,1006070272,291.00,46.7911491394043
CRI,1049861952,291.00,46.1112365722656
CRI,1093028480,291.00,45.4276962280273
CRI,1135585664,291.00,44.7813529968262
CRI,1177549568,291.00,44.1510734558105
CRI,1218937856,291.00,43.5229530334473
CRI,1259766528,291.00,42.901309967041
CRI,1300050304,291.00,42.332447052002
CRI,1339806336,291.00,41.767765045166
CRI,1379046016,291.00,41.2086868286133
CRI,1417783808,291.00,40.6563148498535
CRI,1456033664,291.00,40.1440696716309
CRI,1493809664,291.00,39.6501121520996
CRI,1531125632,291.00,39.1622276306152
CRI,1567993728,291.00,38.681037902832
CRI,1604426752,291.00,38.20703125
CRI,1640437888,291.00,37.7605857849121
CRI,1676033792,291.00,37.3414001464844
CRI,1711226240,291.00,36.9279670715332
CRI,1746026368,291.00,36.5205535888672
CRI,1780443776,291.00,36.1193656921387
CRI,1814487936,291.00,35.724552154541
CRI,1848170752,291.00,35.3443794250488
CRI,1881498240,291.00,34.9985542297363
CRI,1084881,291.50,36.7578964233398
CRI,3281711.25,291.50,36.8566665649414
CRI,5528979.5,291.50,36.9614639282227
CRI,7838845.5,291.50,37.0752944946289
CRI,10218035,291.50,37.1990280151367
CRI,12669730,291.50,37.3320617675781
CRI,15195466,291.50,37.4734916687012
CRI,17796042,291.50,37.622501373291
CRI,20471918,291.50,37.7784996032715
CRI,23223338,291.50,37.940990447998
CRI,26050448,291.50,38.1095809936523
CRI,28953252,291.50,38.283935546875
CRI,31931542,291.50,38.463737487793
CRI,34985052,291.50,38.6487121582031
CRI,38113280,291.50,38.8385696411133
CRI,41315588,291.50,39.0330009460449
CRI,44591184,291.50,39.2316513061523
CRI,47938996,291.50,39.434253692627
CRI,51357848,291.50,39.6405067443848
CRI,54846600,291.50,39.8499641418457
CRI,58403664,291.50,40.0623779296875
CRI,62027484,291.50,40.2773361206055
CRI,65716284,291.50,40.4944229125977
CRI,69468184,291.50,40.7134056091309
CRI,73281176,291.50,40.9339256286621
CRI,77153304,291.50,41.1556015014648
CRI,81082704,291.50,41.3778839111328
CRI,85067096,291.50,41.6005859375
CRI,89104352,291.50,41.8233642578125
CRI,93192064,291.50,42.0458869934082
CRI,97328208,291.50,42.3065223693848
CRI,101510544,291.50,42.5833053588867
CRI,105736944,291.50,42.874324798584
CRI,110005240,291.50,43.1634368896484
CRI,114313496,291.50,43.4503402709961
CRI,118659648,291.50,43.7358131408691
CRI,123041800,291.50,44.0329246520996
CRI,127458248,291.50,44.3268394470215
CRI,131907464,291.50,44.617259979248
CRI,136387920,291.50,44.9038925170898
CRI,140898224,291.50,45.186466217041
CRI,145437296,291.50,45.4646377563477
CRI,150003904,291.50,45.7383003234863
CRI,154596512,291.50,46.0204429626465
CRI,159214320,291.50,46.2978935241699
CRI,163856512,291.50,46.5702209472656
CRI,168521984,291.50,46.8372611999512
CRI,173210144,291.50,47.0988502502441
CRI,177920560,291.50,47.3548545837402
CRI,182652160,291.50,47.6051445007324
CRI,185025824,291.50,47.7281112670898
CRI,233475216,291.50,49.9370269775391
CRI,283403136,291.50,51.5630683898926
