Mechanism,NOx.Emissions,NOx,Temperature,O3,VOCR,H2O2,OH,HO2,HCHO,RO2NO2,RONO2,HNO3
CB05,5228113.5,0.058214336129403,288.00,40,30.6173362731934,0.169389058335412,0.0232705226073902,12.1909088726668,1.0720245802176,0.00278772773094904,0.0511047246187779,0.000215364239029153
CB05,15684340,0.224639251644732,288.00,40,29.958137512207,0.287978446644743,0.0238727596447563,15.9362193580259,1.48988432702168,0.00257010276775993,0.100480485043519,0.00209517754708177
CB05,26140568,0.395785765272549,288.00,40,29.3685493469238,0.346863510136686,0.0244842107065225,17.3332407454874,1.88238691301024,0.00253941984627859,0.152198434411055,0.00583501042622503
CB05,36596800,0.570070601835226,288.00,40,28.8900966644287,0.386819798414706,0.0250452802485861,18.2984183361157,2.23402762955516,0.00251609171865452,0.210262168787168,0.0112792717874011
CB05,47053024,0.746535722129238,288.00,40,28.474235534668,0.415762285710386,0.0255551618955812,19.0164568120155,2.54752108297396,0.00249554456960288,0.273387312788032,0.0182959359468216
CB05,57509248,0.925464149759136,288.00,40,28.1546821594238,0.436711306006643,0.0260197645493478,19.536984877111,2.82726086986429,0.00247625444455002,0.340317690694647,0.0267799515202283
CB05,67965488,1.1071052963274,288.00,40.375846862793,27.890796661377,0.453078741191604,0.0295731694070333,19.9380997822907,3.07754910444658,0.00245724512785983,0.409894673758515,0.0366497734938243
CB05,78421712,1.29162280870787,288.00,41.7761306762695,27.6709747314453,0.464957849999337,0.0336467371976276,20.2869960413965,3.30217053701176,0.0024379105505179,0.481142237163112,0.0478412622018087
CB05,88877920,1.47907985859064,288.00,43.1022453308105,27.5092964172363,0.472897609959944,0.0375507018871273,20.5406611858416,3.50430329199014,0.00241789444369034,0.553248558077257,0.0603004313148858
CB05,99334160,1.66944391644108,288.00,44.3599700927734,27.400369644165,0.477499928486225,0.0414376547669144,20.7114551203924,3.68654484717013,0.00239700924040132,0.62553107138541,0.0739761654711124
CB05,109790384,1.86260029622076,288.00,45.5535545349121,27.3217296600342,0.479211559323289,0.0451685401321039,20.8071945090316,3.85098042343657,0.00237517969702006,0.697403912397476,0.0888134704668531
CB05,120246616,2.0583741378033,288.00,46.6858749389648,27.2703037261963,0.479897899197113,0.0487126479561603,20.8677363583432,3.99926713967602,0.002352406030387,0.768352381719239,0.104747696627605
CB05,130702848,2.25655161223415,288.00,47.758602142334,27.2430782318115,0.478572848017222,0.0520387396639888,20.9301291576036,4.13271328270071,0.00232873594539773,0.837912961237919,0.12169985852406
CB05,141159056,2.45722819869343,288.00,48.7723808288574,27.2371635437012,0.475280370615394,0.0552128228391031,20.9368442721791,4.25235180401273,0.0023042470709278,0.905658770200546,0.139573547164318
CB05,151615280,2.66498467738074,288.00,49.7270393371582,27.2498321533203,0.470189498447127,0.0583947427630453,20.8836541809587,4.3590167031482,0.00227903351572578,0.971189795251348,0.158253854465329
CB05,162071520,2.87511259244866,288.00,50.6217842102051,27.2785625457764,0.463441812703635,0.0613354717493228,20.7728539231011,4.45340520016657,0.00225319741163632,1.03412900465116,0.177608192042378
CB05,172527760,3.08731906706328,288.00,51.4553680419922,27.3210468292236,0.456750831601127,0.0640063631436594,20.6475149477914,4.53613102635586,0.00222684240838711,1.09411679716231,0.197488914110977
CB05,182983968,3.30133675952027,288.00,52.226261138916,27.3752422332764,0.448921871898378,0.0665234062497203,20.5416222226473,4.60777060951045,0.00220006911993975,1.15081211227164,0.217737591845513
CB05,193440208,3.51692497346789,288.00,52.9328460693359,27.4393405914307,0.43981299158169,0.0690751031677192,20.3833009498888,4.67270266923947,0.0021729733897663,1.2038933183689,0.239094882781288
CB05,203896464,3.73387187835306,288.00,53.5851364135742,27.5117740631104,0.429503099752537,0.0713427255639998,20.1708979380433,4.73385508570345,0.00214572999125695,1.256976300823,0.261098559439787
CB05,214352656,3.95199251101985,288.00,54.2321701049805,27.5911846160889,0.418253792711099,0.0733130055144762,19.9031832681662,4.78617101506984,0.00212012785799631,1.30695498867794,0.283269713241552
CB05,224808912,4.17112744344195,288.00,54.8208999633789,27.676420211792,0.407572697813663,0.0752289262785297,19.6853852663104,4.83008077978297,0.00209442792969972,1.35324529360048,0.30544666795862
CB05,235265120,4.39114078432112,288.00,55.3499374389648,27.766508102417,0.395933646979429,0.077102197239623,19.4419601945439,4.86605156169162,0.00206868485015665,1.39561295853241,0.327474936057115
CB05,245721312,4.61628557602012,288.00,55.8182067871094,27.8606090545654,0.38340391972369,0.0786899096772743,19.1467796478717,4.89458606978133,0.00204294458953924,1.43384837336669,0.349212242456431
CB05,256177568,4.84492757024668,288.00,56.2250747680664,27.9580268859863,0.370056596477042,0.0799400083346773,18.7995782136019,4.91622031972838,0.00201724466124265,1.46935441591722,0.370533187465938
CB05,266633824,5.07433295382498,288.00,56.6362190246582,28.0581588745117,0.356597334993936,0.0813627932931028,18.4631164523719,4.93150453806379,0.00199161390504465,1.50510393037706,0.392295418372157
CB05,277090080,5.30439869805832,288.00,57.0154495239258,28.1605262756348,0.343449768624993,0.0828882454209992,18.1480230149189,4.9409907276754,0.0019660714029035,1.53685064674391,0.414900835910004
CB05,287546240,5.53503776146158,288.00,57.3392715454102,28.2646884918213,0.329690552636208,0.0841267634439473,17.7849367177796,4.94523355598631,0.00194062669579831,1.5644556761174,0.436990776897517
CB05,298002464,5.76617376069066,288.00,57.6078109741211,28.3702926635742,0.315400594530502,0.0850928756710584,17.3750701326636,4.94476726231596,0.00191527544692038,1.58782398340662,0.458474092024375
CB05,308458688,5.99774363507777,288.00,57.8216819763184,28.47705078125,0.300667685193545,0.0858049390003654,16.9432592955765,4.94009855245281,0.00188999553854541,1.60839430662918,0.479278838838582
CB05,318914912,6.22969142938246,288.00,58.0726165771484,28.5846996307373,0.286230955603983,0.0868931730496798,16.5692737308376,4.93169238779956,0.0018647273395539,1.62997970676315,0.499349617211209
CB05,329371168,6.46197229059453,288.00,58.2748031616211,28.6930255889893,0.272146749580315,0.0878019174293393,16.1534900039451,4.92190732614972,0.00183928024720392,1.64756475129479,0.518835641116766
CB05,339827392,6.69454447432827,288.00,58.4279098510742,28.8018455505371,0.257822901916782,0.0885058153610348,15.6986663252257,4.91519092093995,0.00181252463125198,1.6611310105219,0.539981614977592
CB05,350283584,6.9273733416253,288.00,58.5332145690918,28.9110126495361,0.243353365236842,0.0889277258601939,15.2085462279405,4.9054911244184,0.0017838007546761,1.67070779433232,0.560369195490296
CB05,360739808,7.16290982083478,288.00,58.6268997192383,29.0203857421875,0.228835658755422,0.0891563502170532,14.7641066039483,4.89313967122484,0.00175710932349277,1.678146177575,0.579968018055155
CB05,371196032,7.40293382150981,288.00,58.7253494262695,29.1298637390137,0.214471398973792,0.0896258436390573,14.3134479962947,4.87844165064644,0.00173309045066461,1.68645775122656,0.598760485637229
CB05,381652288,7.64317498180844,288.00,58.781120300293,29.2393379211426,0.20101717512766,0.0900171999657431,13.8347510530989,4.86167062163645,0.00171062122800159,1.69110925263283,0.616739326275706
CB05,392108480,7.88360488002127,288.00,58.7960662841797,29.3487415313721,0.187703769194414,0.0902155479769358,13.3325009019081,4.84307394188477,0.00168886053145828,1.6922128143193,0.633905872238216
CB05,402564800,8.12420353213383,288.00,58.7723846435547,29.4580059051514,0.174620623516475,0.0902424836246585,12.8116180858617,4.82287099146106,0.00166770449446657,1.68992286830871,0.651870724066583
CB05,413021024,8.36494873368565,288.00,58.7621421813965,29.5670700073242,0.161854071811796,0.0901186609602971,12.3355310341355,4.80125805779608,0.00164706464612918,1.68466951500079,0.669930166896648
CB05,423477216,8.60582360928674,288.00,58.7361297607422,29.6758804321289,0.149485257505688,0.0898634058875761,11.8576797686343,4.77840877977087,0.00162685891234166,1.68150515733601,0.687186807457607
CB05,433933440,8.84681483626082,288.00,58.6764221191406,29.7844104766846,0.137587774506898,0.0898323367190708,11.3686846395233,4.75447770043047,0.00160701248315409,1.6753641807199,0.703650415712076
CB05,444389664,9.08790731557474,288.00,58.5854454040527,29.8926200866699,0.126473082007195,0.0896862472525919,10.8740030868582,4.7296055960544,0.00158745900539353,1.66645586219261,0.719335313537073
CB05,454845888,9.32909127726589,288.00,58.4657516479492,30.000467300415,0.116059307997407,0.0894173989951334,10.3789537728161,4.70391148255089,0.0015681432931694,1.65501257143319,0.734259153478689
CB05,465302144,9.57035606319323,288.00,58.3459091186523,30.1079387664795,0.106192971083274,0.0890423260298256,9.8884763224949,4.67750327359795,0.00154902121945327,1.64128088897542,0.748442252618275
CB05,475758368,9.81169456792941,288.00,58.226261138916,30.2150115966797,0.0969093486014039,0.0885759903466489,9.40681820632561,4.6504773365541,0.00153006036660019,1.62551527793653,0.763131280390184
CB05,486214592,10.0530970215118,288.00,58.0825271606445,30.3216743469238,0.0882318801354032,0.0880317344085883,8.96288078477969,4.62291893654765,0.00151123818320498,1.61078639315804,0.77799022779601
CB05,496670720,10.2945589830483,288.00,57.9170761108398,30.4279022216797,0.08017213282141,0.0874214031243783,8.52899608577706,4.59490401283347,0.00149254144200112,1.59496138518733,0.792128473925402
CB05,507127008,10.5360733471116,288.00,57.7322235107422,30.53369140625,0.0727306062597854,0.0867553912823477,8.10694133351886,4.56991555708441,0.00147396342093514,1.57753121676762,0.805567335060431
CB05,517583296,10.7804769555742,288.00,57.5301780700684,30.6390361785889,0.0658973361988835,0.0861477230697238,7.69926483679129,4.54522952608727,0.00145683291818965,1.55872359464126,0.81832901566159
CB05,522811392,10.9041229379159,288.00,57.4233703613281,30.6915378570557,0.0627032106792491,0.0858551985473237,7.50144477784653,4.53272219758105,0.00144858485016247,1.54887125347614,0.824463053383795
CB05,533267648,11.1514424361303,288.00,57.2131538391113,30.7962093353271,0.0568605926232202,0.0852299256019241,7.11877258530169,4.50741488577933,0.00143215766936627,1.5283967425006,0.836251790037323
CB05,543723904,11.3987912442326,288.00,57.008171081543,30.9004154205322,0.0578659828387451,0.084558316566178,6.82803423177059,4.48176162848313,0.00141582340469626,1.50705559143205,0.84742052264275
CB05,554180160,11.6461675858659,288.00,56.7904968261719,31.0041561126709,0.0588682089186499,0.0838481438144092,6.8985919407516,4.45581038732712,0.0013995856340196,1.48502310448606,0.857992066283231
CB05,564636224,11.8935687964949,288.00,56.5618171691895,31.1074409484863,0.0598659871675622,0.0831061903864595,6.96801080377063,4.42960423896466,0.00138345053728867,1.46245693333213,0.869031235861684
CB05,575092480,12.1409886588708,288.00,56.3236656188965,31.2102603912354,0.0608581379735185,0.0823383245265874,7.03613382835311,4.40318315142463,0.00136742635443998,1.43949674402677,0.880068407038692
CB05,585548800,12.3884280611719,288.00,56.0774383544922,31.3126239776611,0.0618435094801306,0.0815496623137943,7.10286040053743,4.37658220775461,0.00135152327697396,1.41659184382803,0.890530316155491
CB05,596004928,12.6358825625061,288.00,55.8243713378906,31.4145240783691,0.0628210747311009,0.0807446218719331,7.16810812095847,4.3498329382885,0.00133575258059321,1.3945212762323,0.900438223983002
CB05,606461120,12.8833521628735,288.00,55.5655784606934,31.5159740447998,0.0637898692201766,0.0799270250136618,7.2318119374859,4.32296598518178,0.0013201267336227,1.37224254181945,0.909812725158332
CB05,616917376,13.1308333095603,288.00,55.3020515441895,31.621898651123,0.0647491019134527,0.0791001582268157,7.29392501258586,4.29600843787625,0.0013046569033448,1.34984934341276,0.918674025740529
CB05,627373696,13.3783277789234,288.00,55.0346603393555,31.7291030883789,0.065698002593706,0.0782668539895705,7.35441308546969,4.26898427718925,0.00128935599176538,1.32742217218151,0.927041721165978
CB05,637829824,13.6258311300708,288.00,54.7706642150879,31.8358097076416,0.0666359536993788,0.0774295788618685,7.41325750786004,4.24191526349205,0.00127423559984768,1.30503052808706,0.934934574203794
CB05,648286080,13.8733433630023,288.00,54.5146636962891,31.9420223236084,0.0675623862411712,0.0765904538142098,7.47113221982731,4.21482138079909,0.00125930667803364,1.28273303090509,0.942371070067338
CB05,658742336,14.1208662540748,288.00,54.2560768127441,32.0477409362793,0.0684768630687671,0.0757512881089696,7.52974852608057,4.18772261312483,0.00124457920098325,1.26057941862712,0.949368916813853
CB05,669198528,14.3683971387532,288.00,53.9954986572266,32.1529731750488,0.0693789817263202,0.0749136470630345,7.58693975699831,4.16063494768082,0.00123006238441498,1.23861187972807,0.955945100855615
CB05,679654784,14.6159351288588,288.00,53.733455657959,32.2577209472656,0.0702684369024986,0.0740788588240657,7.64270331049532,4.13357437167861,0.00121639991915862,1.21686505316632,0.962539048465771
CB05,690111040,14.8634820007487,288.00,53.4703979492188,32.362003326416,0.0711449857360158,0.0732480956856622,7.69704439074204,4.10655509597291,0.00120341085187159,1.1953680267851,0.969421876106935
CB05,700567168,15.111035978066,288.00,53.2067337036133,32.4657936096191,0.0720084339378424,0.0724223605348337,7.74997167135583,4.07959088732923,0.00119058506543174,1.17414455935716,0.975901581767857
CB05,711023360,15.358597948989,288.00,52.9428062438965,32.5691261291504,0.0728586427301003,0.0716025749434267,7.80150076484798,4.05269373615624,0.00117792884821166,1.15321374671851,0.981993708570883
CB05,721479616,15.6061652489825,288.00,52.6789283752441,32.6720008850098,0.073695514968275,0.0707894843004347,7.85165162053847,4.02587474468419,0.00116544772964244,1.13259079892458,0.987712911459937
CB05,731935872,15.8537432071171,288.00,52.4153633117676,32.7744178771973,0.074519002080109,0.0699834816291454,7.9004493919177,4.00093913555111,0.00115314637179342,1.11228815047326,0.993073401289735
CB05,742392064,16.1046784796781,288.00,52.1523475646973,32.8763847351074,0.0753290832489206,0.0691845601532952,7.94792443664649,3.97664079443416,0.00114102867779242,1.09231501621565,0.998089055848084
CB05,752848384,16.356633381065,288.00,51.890079498291,32.9779167175293,0.076125751535816,0.0683933636179239,7.99410624502395,3.95237931272163,0.00112909822550661,1.0726783905568,1.00277297576667
CB05,763304576,16.6085811770245,288.00,51.6287384033203,33.0790023803711,0.0769090277574769,0.0676106306357616,8.03902864415784,3.92816446037614,0.00111735772544141,1.05338271438882,1.00713803963259
