Mechanism,NOx.Emissions,Temperature,O3,VOCR,H2O2,OH,HO2,HCHO,RO2NO2,RONO2,HNO3
MOZART,1348722.625,288.00,40,31.6324291229248,0.0456120176350883,0.0269695815566197,6.0512484779951,0.564046920281669,0.00564571609948383,0.00957220067099307,0.000107275110019026
MOZART,4089251.75,288.00,40,31.6151523590088,0.0612203551741963,0.029082947394744,7.00680355750216,0.568050828597677,0.016428362142884,0.0291397184160047,0.000364747809863605
MOZART,6903793.5,288.00,40,31.5910263061523,0.0770671235161835,0.0315782488591147,7.84033168249598,0.576061698343011,0.0274378887665794,0.0472820879671154,0.000695890177079828
MOZART,9805887,288.00,40,31.5589084625244,0.0925685361696793,0.0344535564086781,8.56817134603505,0.589820470242586,0.0391059615245659,0.0630788060673737,0.00111777774536304
MOZART,12801769,288.00,40,31.5185298919678,0.106857217518908,0.037676415129027,9.18631490320898,0.608862349427142,0.05150432857981,0.0766222640891101,0.00164154974335862
MOZART,11244357,288.00,40,31.2005462646484,0.0955457657436654,0.0393673673304215,8.68494685890564,0.558773693981607,0.0441918654447981,0.06782878425593,0.00195538528945105
MOZART,19084550,288.00,40,31.4159526824951,0.130323529745624,0.0450095351072453,10.1030347282594,0.659279852932571,0.0781297804230974,0.0990695511737805,0.00303610045090941
MOZART,22373582,288.00,40,31.35595703125,0.139704400825558,0.0490470497874727,10.4426406757896,0.700129620945233,0.0921092507821797,0.109133049819299,0.00392399784540642
MOZART,25761522,288.00,40,31.2915630340576,0.147851508813801,0.0532560412056741,10.727568139357,0.746098016701779,0.106383617193284,0.119020723832186,0.00494785289129052
MOZART,29248352,288.00,40,31.2327041625977,0.154998111567828,0.0576301430622178,10.9709758638887,0.794608101539751,0.120860904617714,0.12911055558007,0.00611240875622587
MOZART,32833664,288.00,40,31.1764125823975,0.16132981062178,0.0621330515249846,11.1824273799077,0.846008541000032,0.135462432937494,0.139512595920266,0.0074210195280533
MOZART,36516756,288.00,40,31.1181659698486,0.166987812466601,0.066732399770994,11.3688190805927,0.898525420733876,0.150119847108776,0.150376752716674,0.00887575603292223
MOZART,40296492,288.00,40,31.0583057403564,0.172077435633966,0.0714020043177804,11.5351322244051,0.951918655012207,0.16477275099902,0.161815449928326,0.0104775060155715
MOZART,44171564,288.00,40,30.9971160888672,0.176676673291354,0.0761183040968831,11.6849958528564,1.0059887367575,0.179367243280382,0.173913647372181,0.0122260335536084
MOZART,48140300,288.00,40,30.9348201751709,0.180843062747016,0.080865883108662,11.8210788380146,1.06071240679739,0.193854848840047,0.186839058113897,0.0141200740336189
MOZART,52200700,288.00,40,30.8715972900391,0.184618959009342,0.0856121678540975,11.945359632004,1.11616671460979,0.20819129753491,0.200667676919508,0.0161573879275956
MOZART,56350692,288.00,40.0771179199219,30.8076057434082,0.188036072823472,0.0903484711632825,12.0593483116105,1.17169141056195,0.222339008315586,0.215321455110384,0.0183349099791563
MOZART,60587812,288.00,40.3478965759277,30.7429676055908,0.191117399683804,0.0950597294022831,12.1641681102846,1.22713228467575,0.236262232000684,0.230813534951579,0.0206487691528645
MOZART,64909344,288.00,40.6202697753906,30.6777763366699,0.193880189680584,0.0997325187929513,12.2606829203176,1.28234667329252,0.249930215412419,0.247144943399391,0.0230944326162774
MOZART,69312504,288.00,40.8935279846191,30.6121349334717,0.196337404667624,0.104355109623033,12.3495597428858,1.33719924022557,0.263316340953779,0.264304744757027,0.0256828933120623
MOZART,73794288,288.00,41.1669883728027,30.5461082458496,0.198499022774357,0.108917310392108,12.4313129234999,1.39156253187167,0.276398293141966,0.282271428453384,0.0284013455115195
MOZART,78351536,288.00,41.439998626709,30.4895038604736,0.200372968217621,0.113409614002375,12.5063405811976,1.44531653312185,0.289425816646371,0.30101368619917,0.0312394068946453
MOZART,82981184,288.00,41.7119483947754,30.4375324249268,0.201965819068839,0.117822852169214,12.5749549662046,1.49859236131533,0.302226299542241,0.320491438943193,0.0341910423584668
MOZART,87679896,288.00,41.9822578430176,30.3853778839111,0.203283417876676,0.122148981467757,12.6373980724459,1.55173107696527,0.314711923188327,0.340657141384426,0.0372500294498757
