Mechanism,NOx.Emissions,Temperature,O3,H2O2,OH,HO2,HCHO,RO2NO2,RONO2,HNO3
CRI,165050096,288.00,46.1718215942383,0.135460379024899,0.157252859280151,9.64342061066104,2.99864932884475,0.579042924719886,0.610582362448042,0.117748685801722
CRI,952872.375,288.00,40,0.0349463270821193,0.0254061145900505,4.37464300895307,0.633959384988003,0.00550498535645261,0.00363391109738098,9.36562906763728e-05
CRI,2881002.5,288.00,40,0.0427256285906452,0.0268951527715444,5.03882959662638,0.643164077551717,0.0168210341489061,0.0116692436963328,0.000327101383089043
CRI,4851853.5,288.00,40,0.0515943641976602,0.0287696299075546,5.6878191392884,0.656980136959362,0.0277743938958963,0.0191487346812291,0.000627774199811471
CRI,6876656,288.00,40,0.0604687203087373,0.0309636993508274,6.25575546225887,0.674485745033593,0.038513976730048,0.0257418565630108,0.00100557854144229
CRI,8961730,288.00,40,0.0686153078799379,0.0334147823072197,6.72944642718387,0.694604429529733,0.0492245862127039,0.031657603621893,0.0014659381564544
CRI,11110206,288.00,40,0.0758073603890352,0.0361251318843712,7.11203925612969,0.721671222780884,0.0600725441612937,0.0372622037392301,0.00201404604799338
CRI,13323656,288.00,40,0.082090181874328,0.0390133448279189,7.42325471925209,0.75718531444835,0.0710631276046314,0.0427474305952913,0.00265442203807587
CRI,15603004,288.00,40,0.0875964786817285,0.042033474682672,7.68049512878122,0.797342081249042,0.0822202028682995,0.048267431718152,0.00339102747617948
CRI,17948848,288.00,40,0.0924633217214144,0.0451615910738046,7.89694351577275,0.841088532155254,0.0935517496802873,0.053928434634587,0.0042272396520715
CRI,20361564,288.00,40,0.0968078742169531,0.0483775786628855,8.08219290104883,0.88658080876769,0.105057379462536,0.0598041130506211,0.00516583954432437
CRI,22841464,288.00,40,0.100724539819907,0.0516638394934023,8.24320472991857,0.934676336328266,0.116733858690488,0.0659494472921018,0.00620899729200652
CRI,25388700,288.00,40,0.104286260182995,0.0550044019121017,8.38501143518577,0.983830461542823,0.12857404030342,0.0724068582869108,0.00735827457992722
CRI,28003350,288.00,40,0.107549504024806,0.0583845309338332,8.51265238854815,1.03407959972657,0.140569209050589,0.0792112347935969,0.00861459861778435
CRI,30685396,288.00,40,0.110557507593256,0.0617909044244025,8.63039414239486,1.08654496511207,0.152708401479629,0.0864045224258092,0.00997830637561314
CRI,33434626,288.00,40,0.113343459617887,0.0652150791593913,8.7374144377983,1.13985387795168,0.164979085948147,0.0940386449266306,0.0114491775435321
CRI,36250828,288.00,40,0.115933318500794,0.0686378783128737,8.83528580158943,1.1939205180056,0.177365802600526,0.102096629761572,0.0130264323633389
CRI,39133552,288.00,40,0.118347304178812,0.0720528847632414,8.92521299922233,1.24867238771031,0.189854784671262,0.110596400093588,0.0147087966806403
CRI,42082212,288.00,40,0.120601195696679,0.0754505914126943,9.00813017928881,1.30404298470665,0.202432764995208,0.119553936195338,0.016494580007409
CRI,45096080,288.00,40,0.122707177752091,0.078898984513711,9.08477633398963,1.35995958938651,0.21508503311729,0.128982102776121,0.0183816729198982
CRI,48174296,288.00,40,0.124677615453983,0.0823296644617347,9.15576468807355,1.41634848294103,0.227796642660039,0.138891009804354,0.0203675271093218
