Mechanism,NOx.Emissions,Temperature,HCHO
RADM2,255009728,288.00,4.12148759565412
RADM2,1741710.5,288.00,0.946614009400548
RADM2,5346085.5,288.00,1.11382925105374
RADM2,9083699,288.00,1.26782595533115
RADM2,12935643,288.00,1.40779166102334
RADM2,16892162,288.00,1.54136658991888
RADM2,20946400,288.00,1.66858848960061
RADM2,25093106,288.00,1.78898018621254
RADM2,29327402,288.00,1.90342919204056
RADM2,33644964,288.00,2.01252126075246
RADM2,38041548,288.00,2.11666839611269
RADM2,42513752,288.00,2.21617990625589
RADM2,47058188,288.00,2.31132557537705
RADM2,51671808,288.00,2.40232012060915
RADM2,56351548,288.00,2.48937093161317
RADM2,61094928,288.00,2.57266274950041
RADM2,65899456,288.00,2.65237143359798
RADM2,70762928,288.00,2.72864220107749
RADM2,75683352,288.00,2.80164003108041
RADM2,80659448,288.00,2.87152324141005
RADM2,85690360,288.00,2.93843527288118
RADM2,90775000,288.00,3.00249802798191
RADM2,95911704,288.00,3.06384739801047
RADM2,101097368,288.00,3.12262327106794
RADM2,106328392,288.00,3.17894754964243
RADM2,111601200,288.00,3.23293236625943
RADM2,116912432,288.00,3.28469318411351
RADM2,122259640,288.00,3.33433658461502
RADM2,127640496,288.00,3.38196204374697
RADM2,133053312,288.00,3.4276659288679
RADM2,138496928,288.00,3.47153061852623
RADM2,143969696,288.00,3.51365625483879
RADM2,149470240,288.00,3.554927241467
RADM2,154998304,288.00,3.59621377121755
RADM2,160552512,288.00,3.63599084174382
RADM2,166131296,288.00,3.67432195780282
RADM2,171734256,288.00,3.7112681816609
RADM2,177360464,288.00,3.74688724491534
RADM2,183008784,288.00,3.78123310440515
RADM2,188678080,288.00,3.81435727447865
RADM2,194367072,288.00,3.84630993721657
RADM2,200074752,288.00,3.87713727789674
RADM2,205800912,288.00,3.90688370544012
RADM2,211543152,288.00,3.93559096423246
RADM2,217299984,288.00,3.96329946639185
RADM2,223070464,288.00,3.9900465154119
RADM2,228854432,288.00,4.01586852660785
RADM2,234650272,288.00,4.04079880667041
RADM2,240456368,288.00,4.06486977411191
RADM2,246271504,288.00,4.08811251517704
RADM2,252095152,288.00,4.11055633975366
RADM2,313501184,288.00,4.30422231190164
RADM2,371817408,288.00,4.43171010999777
RADM2,429397024,288.00,4.51826087655149
RADM2,485932480,288.00,4.57419213617527
RADM2,541284544,288.00,4.60733051710349
RADM2,595417536,288.00,4.62365834508205
RADM2,648340864,288.00,4.62966553982369
RADM2,700102976,288.00,4.62987115312785
RADM2,750766272,288.00,4.62294647007866
RADM2,800397760,288.00,4.61076687940931
RADM2,849062272,288.00,4.59471838354375
RADM2,896821568,288.00,4.57582771673515
RADM2,943722368,288.00,4.55486137695971
RADM2,989835584,288.00,4.53239357156576
RADM2,1035211200,288.00,4.51025883307921
RADM2,1079893120,288.00,4.4881893757065
RADM2,1123933568,288.00,4.46541381649013
RADM2,1167362304,288.00,4.44213554828821
RADM2,1210214784,288.00,4.41852465726811
RADM2,1252520064,288.00,4.39471392610358
RADM2,1294304640,288.00,4.37080771575893
RADM2,1335591808,288.00,4.34688862682719
RADM2,1376407168,288.00,4.32302282860064
RADM2,1416772480,288.00,4.29925872680315
RADM2,1456720768,288.00,4.27567892202774
RADM2,1496247936,288.00,4.25226431843839
RADM2,1535377792,288.00,4.22904955499348
RADM2,1574119936,288.00,4.2060528393506
RADM2,1612484736,288.00,4.18328793827527
RADM2,1650488960,288.00,4.16076550990852
RADM2,1688143744,288.00,4.13849443603453
RADM2,1725458304,288.00,4.11648004572385
RADM2,1762448000,288.00,4.09472677986855
RADM2,1799124864,288.00,4.07325195794783
RADM2,1835502976,288.00,4.05204803044512
RADM2,1871579520,288.00,4.03110833602227
RADM2,1907360384,288.00,4.01043154241165
RADM2,1942864384,288.00,3.99001587325643
RADM2,1978084096,288.00,3.96985866402133
RADM2,2013027328,288.00,3.94995813834953
RADM2,1758476.125,288.50,0.952931178410665
RADM2,5398095.5,288.50,1.12111542271975
RADM2,9172877,288.50,1.27614252498631
RADM2,13063672,288.50,1.41703637712709
RADM2,17060618,288.50,1.55170643001412
RADM2,21156748,288.50,1.67972791231819
RADM2,25346740,288.50,1.80084758216736
RADM2,29625678,288.50,1.91596716270226
RADM2,33989104,288.50,2.02567607132664
RADM2,38432828,288.50,2.13038986451863
RADM2,42953356,288.50,2.23042428970643
RADM2,47547396,288.50,2.32605401606634
RADM2,52211760,288.50,2.41750020002485
RADM2,56943544,288.50,2.50496601239547
RADM2,61740056,288.50,2.58864218949384
RADM2,66598916,288.50,2.66870703313771
RADM2,71517880,288.50,2.7453104234354
RADM2,76495288,288.50,2.81861733952837
RADM2,81530144,288.50,2.88878809762139
RADM2,86621256,288.50,2.95597080146592
RADM2,91767440,288.50,3.02030289667243
RADM2,96966512,288.50,3.08189407327575
RADM2,102214520,288.50,3.14089954045471
RADM2,107507816,288.50,3.19744120069743
RADM2,112842712,288.50,3.25163473924306
RADM2,118216240,288.50,3.30359650746459
RADM2,123626392,288.50,3.35343197654936
RADM2,129070496,288.50,3.40124373110484
RADM2,134547248,288.50,3.44713102506944
RADM2,140055232,288.50,3.49118689513261
RADM2,145592752,288.50,3.53349483006582
RADM2,151159696,288.50,3.57453200372504
RADM2,156754576,288.50,3.61597751741272
RADM2,162376272,288.50,3.65591001916243
RADM2,168023776,288.50,3.69439367986502
RADM2,173696144,288.50,3.73148978383142
RADM2,179392480,288.50,3.76725628470354
RADM2,185111456,288.50,3.80174736136496
RADM2,190852192,288.50,3.83501541634246
RADM2,196613344,288.50,3.86711018762753
RADM2,202394560,288.50,3.89807786049801
RADM2,208193888,288.50,3.92796373205329
RADM2,214009376,288.50,3.9568095466791
RADM2,219840048,288.50,3.98465527240432
RADM2,225685776,288.50,4.01153910090102
RADM2,231544800,288.50,4.03749567112754
RADM2,237415376,288.50,4.06256006613148
RADM2,243296512,288.50,4.08676603669278
RADM2,249187616,288.50,4.11014289269929
RADM2,255087408,288.50,4.13272083221727
RADM2,258040128,288.50,4.14371914558842
RADM2,317295264,288.50,4.32778435310865
RADM2,376372352,288.50,4.45651604508157
RADM2,434692736,288.50,4.54420456819093
RADM2,491939360,288.50,4.60113103173398
RADM2,547967360,288.50,4.63510296810909
RADM2,602739520,288.50,4.65209426536717
RADM2,656267904,288.50,4.65673322125326
RADM2,708601472,288.50,4.65731364585054
RADM2,759805568,288.50,4.65065808086251
RADM2,809948864,288.50,4.63865656996632
RADM2,859099200,288.50,4.62271021461902
RADM2,907318272,288.50,4.60385907175009
RADM2,954659008,288.50,4.58288074156599
RADM2,1001191552,288.50,4.56035920137765
RADM2,1046966976,288.50,4.53673587585968
RADM2,1092035968,288.50,4.51430537395936
RADM2,1136443648,288.50,4.49142989467077
RADM2,1180226048,288.50,4.46803483100666
RADM2,1223418368,288.50,4.44429071322361
RADM2,1266050560,288.50,4.42033387670904
RADM2,1308151296,288.50,4.39627090287331
RADM2,1349743872,288.50,4.37218705684472
RADM2,1390855936,288.50,4.34814850791554
RADM2,1431511552,288.50,4.32422764262697
RADM2,1471736960,288.50,4.30045377086685
RADM2,1511534976,288.50,4.27685442616621
RADM2,1550928000,288.50,4.25345181298553
RADM2,1589922560,288.50,4.23026458307163
