Mechanism,NOx.Emissions,Temperature,O3,H2O2,OH,HO2,HCHO,RO2NO2,RONO2,HNO3
MOZART,1257620.375,288.00,40,0.0298388154462703,0.0325851406404384,4.93424745506843,0.38305067451283,0.00760874349636786,0.00568761183983302,0.000132636753685279
MOZART,3812375.25,288.00,40,0.0502120046930177,0.0354015624595087,6.38768898886255,0.39045428001927,0.0201457288351303,0.0186704332549859,0.000470474408129778
MOZART,6433517,288.00,40,0.0683637035869822,0.0386744740507768,7.42155208816042,0.402440414326577,0.0318899802398409,0.0303215404173773,0.000906745978215134
MOZART,9132058,288.00,40,0.083718386389986,0.0422710064380046,8.17711610229255,0.419118045824618,0.0436256239466637,0.0401702490715472,0.00145125231276744
MOZART,11912804,288.00,40,0.096136397453872,0.0461336189790194,8.73443418286657,0.438852038042725,0.0554925896900649,0.0487777040980575,0.00211288625484585
MOZART,14777689,288.00,40,0.106087708062752,0.0502062516452399,9.15550968372258,0.460451260453354,0.0674871616923589,0.0567660363159916,0.0028986270848852
MOZART,17727660,288.00,40,0.114138816453835,0.0544407861889987,9.47974077708524,0.483213524749004,0.0795758736682473,0.0645863640347244,0.00381369415214383
MOZART,20763094,288.00,40,0.120752421950421,0.0587973612397978,9.7368814400145,0.506738484506997,0.0917228515362467,0.0725784293775789,0.00486181797945684
MOZART,23884058,288.00,40,0.126265706223982,0.0632434168511449,9.94605439674778,0.535801514267575,0.103895503311691,0.0808517003347831,0.00604550871169396
MOZART,27090380,288.00,40,0.13091698558565,0.0677518547449914,10.1197487889504,0.570694547175066,0.116065740352056,0.0895177335036301,0.00736617798008377
MOZART,30381676,288.00,40,0.134874056367806,0.0722997779267071,10.2663042997331,0.606807271097409,0.128209068361862,0.0986497342148063,0.00882425382764396
MOZART,33757360,288.00,40,0.138256225912237,0.0768674674692799,10.3914403123961,0.643123332366713,0.140304434737004,0.108295566958461,0.0104192496644395
MOZART,37216488,288.00,40,0.14114946711441,0.0814373592975155,10.4991683749778,0.679936051906083,0.152333062830579,0.11848449998908,0.0121498375596496
MOZART,40758032,288.00,40,0.143616729619822,0.0859975271875167,10.5923672610864,0.717163661789755,0.164278826653153,0.129232208267993,0.014013915895783
MOZART,44380592,288.00,40,0.145704892595688,0.0905254603916772,10.6731411902983,0.754287132753717,0.176127362694345,0.140589928587787,0.0160086961048522
MOZART,48082756,288.00,40,0.147449594201099,0.0950149179712416,10.743060954721,0.791238574660014,0.187866736056641,0.152570317490941,0.0181307815982912
MOZART,51862672,288.00,40,0.148878478989367,0.0994555322429355,10.8033139725738,0.82795420519588,0.199486205332278,0.165097213677967,0.0203762649114703
MOZART,55718552,288.00,40.0989799499512,0.15001352937638,0.103838548274216,10.8548135757669,0.864377514009362,0.210977180170602,0.178148717999704,0.0227408543385099
MOZART,59648304,288.00,40.3073959350586,0.150872689341774,0.108156505398884,10.8982701335636,0.90045615408485,0.222332374733014,0.191697130391688,0.025219899085771
MOZART,63649668,288.00,40.5150032043457,0.15147108567426,0.112402410512927,10.9342439616467,0.936138833118605,0.233544850125611,0.205709033140877,0.0278084968247105
MOZART,67720200,288.00,40.7213668823242,0.15182186063889,0.116569622878038,10.9631834860346,0.971381419745398,0.24460955483363,0.220147636231793,0.0305015943058429
MOZART,71857624,288.00,40.9260673522949,0.151936768721939,0.120713267398424,10.9854503965723,1.00614283571332,0.255522047964973,0.234972707957581,0.0341200817599585
MOZART,76059368,288.00,41.1286888122559,0.151826676231259,0.124807919533142,11.0013395962505,1.04038522241723,0.266278527005781,0.250141352076128,0.0383674723936078
MOZART,80322784,288.00,41.3288421630859,0.151595208608413,0.128815130762648,11.0111008852498,1.07407427396566,0.276875716798131,0.265608729455025,0.0429158514281269
MOZART,84645240,288.00,41.5261497497559,0.151219453625728,0.132732312554257,11.0149415630256,1.10717901513624,0.28731059198428,0.281328405016268,0.0477665892950618
MOZART,89024240,288.00,41.7202491760254,0.150657708530844,0.136557391371313,11.0130429081812,1.13967191239794,0.297580515784546,0.297253277548037,0.0529197692611394
MOZART,93457096,288.00,41.9107933044434,0.149918535918836,0.140288496965069,11.005561913191,1.17152809675503,0.30768287917482,0.31333563521585,0.0583741249782221
MOZART,97941392,288.00,42.0974655151367,0.149010470629207,0.143924138557537,10.9972256995272,1.2027259188585,0.317615017619843,0.329527821696374,0.0641270994639065
MOZART,102474432,288.00,42.3364181518555,0.147942075257035,0.14745882737522,10.9884436619301,1.23324639389466,0.327374294339933,0.345782374955306,0.0701747687736898
MOZART,107053760,288.00,42.5768852233887,0.146722009541911,0.150896059970124,10.9752866517265,1.26307253545122,0.336957906021951,0.362052582358885,0.076512005064977
MOZART,111677136,288.00,42.8142929077148,0.145358905467852,0.154236337785753,10.9578544155164,1.29219057676266,0.346362938330458,0.378292897007526,0.0831326743555572
MOZART,116342352,288.00,43.0574378967285,0.143861492163389,0.157480270685829,10.9362406283675,1.32058841639804,0.355623225312129,0.394458743446791,0.0900294075401042
MOZART,121047104,288.00,43.2935829162598,0.142354475429762,0.160628346561331,10.910533761177,1.34825617337242,0.364754976223125,0.410668915540313,0.0971937808014189
MOZART,125789312,288.00,43.5224266052246,0.140841088791532,0.163681053303236,10.8808205501187,1.3757028849426,0.373702818690091,0.426806673337055,0.104616378060474
MOZART,130567144,288.00,43.7436904907227,0.139221065231787,0.166638878802521,10.847185996643,1.40278788585135,0.382463838377589,0.442774317210848,0.11228683954867
MOZART,135378576,288.00,43.9674682617188,0.137502037533821,0.169502338055218,10.8097133674767,1.42918155088267,0.391035120950178,0.458533655489646,0.120193993646822
