Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Reaction,Rate,Net.Reaction.Rate
CB05,288,1.25354532309885e-10,22373582,Others,-4190.48266601562,4365603.5
CB05,288,1.25354532309885e-10,22373582,HO2 + NO2 = HO2NO2,33565684,4365603.5
CB05,288,1.25354532309885e-10,22373582,CXO3 + NO2 = PANX,8666553,4365603.5
CB05,288,1.25354532309885e-10,22373582,C2O3 + NO2 = PAN,7626179.5,4365603.5
CB05,288,1.49229295587361e-10,25761522,HO2NO2 = HO2 + NO2,-40682600,4783586.5
CB05,288,1.49229295587361e-10,25761522,PANX = CXO3 + NO2,-5148145,4783586.5
CB05,288,1.49229295587361e-10,25761522,PAN = C2O3 + NO2,-4770961,4783586.5
CB05,288,1.49229295587361e-10,25761522,PANX = UNITY,-1653320.5,4783586.5
CB05,288,1.49229295587361e-10,25761522,PAN = UNITY,-1536865.125,4783586.5
CB05,288,1.49229295587361e-10,25761522,Others,-5178.0322265625,4783586.5
CB05,288,1.49229295587361e-10,25761522,HO2 + NO2 = HO2NO2,40767140,4783586.5
CB05,288,1.49229295587361e-10,25761522,CXO3 + NO2 = PANX,9282371,4783586.5
CB05,288,1.49229295587361e-10,25761522,C2O3 + NO2 = PAN,8531163,4783586.5
CB05,288,1.73934089353622e-10,29248352,HO2NO2 = HO2 + NO2,-48180504,5213530
CB05,288,1.73934089353622e-10,29248352,PANX = CXO3 + NO2,-5502469,5213530
CB05,288,1.73934089353622e-10,29248352,PAN = C2O3 + NO2,-5294201.5,5213530
CB05,288,1.73934089353622e-10,29248352,PANX = UNITY,-1759362.375,5213530
CB05,288,1.73934089353622e-10,29248352,PAN = UNITY,-1706458,5213530
CB05,288,1.73934089353622e-10,29248352,Others,-6307.20922851562,5213530
CB05,288,1.73934089353622e-10,29248352,HO2 + NO2 = HO2NO2,48280780,5213530
CB05,288,1.73934089353622e-10,29248352,CXO3 + NO2 = PANX,9918756,5213530
CB05,288,1.73934089353622e-10,29248352,C2O3 + NO2 = PAN,9463263,5213530
CB05,288,1.99422811597572e-10,32833664,HO2NO2 = HO2 + NO2,-55951876,5658209.5
CB05,288,1.99422811597572e-10,32833664,PANX = CXO3 + NO2,-5874059,5658209.5
CB05,288,1.99422811597572e-10,32833664,PAN = C2O3 + NO2,-5834436.5,5658209.5
CB05,288,1.99422811597572e-10,32833664,PAN = UNITY,-1881404.625,5658209.5
CB05,288,1.99422811597572e-10,32833664,PANX = UNITY,-1871184.75,5658209.5
CB05,288,1.99422811597572e-10,32833664,Others,-7587.7392578125,5658209.5
CB05,288,1.99422811597572e-10,32833664,HO2 + NO2 = HO2NO2,56068620,5658209.5
CB05,288,1.99422811597572e-10,32833664,CXO3 + NO2 = PANX,10585009,5658209.5
CB05,288,1.99422811597572e-10,32833664,C2O3 + NO2 = PAN,10425134,5658209.5
CB05,288,2.25665680586573e-10,36516756,HO2NO2 = HO2 + NO2,-63966184,6119314
CB05,288,2.25665680586573e-10,36516756,PAN = C2O3 + NO2,-6392343,6119314
CB05,288,2.25665680586573e-10,36516756,PANX = CXO3 + NO2,-6266156,6119314
CB05,288,2.25665680586573e-10,36516756,PAN = UNITY,-2061945.75,6119314
CB05,288,2.25665680586573e-10,36516756,PANX = UNITY,-1989877.5,6119314
CB05,288,2.25665680586573e-10,36516756,Others,-9028.59252929688,6119314
CB05,288,2.25665680586573e-10,36516756,HO2 + NO2 = HO2NO2,64099964,6119314
CB05,288,2.25665680586573e-10,36516756,C2O3 + NO2 = PAN,11417937,6119314
CB05,288,2.25665680586573e-10,36516756,CXO3 + NO2 = PANX,11286961,6119314
CB05,288,2.52643073128667e-10,40296492,HO2NO2 = HO2 + NO2,-72199672,6597995
CB05,288,2.52643073128667e-10,40296492,PAN = C2O3 + NO2,-6968298.5,6597995
CB05,288,2.52643073128667e-10,40296492,PANX = CXO3 + NO2,-6680923,6597995
CB05,288,2.52643073128667e-10,40296492,PAN = UNITY,-2248172.5,6597995
CB05,288,2.52643073128667e-10,40296492,PANX = UNITY,-2116129.25,6597995
CB05,288,2.52643073128667e-10,40296492,Others,-10638.5483398438,6597995
CB05,288,2.52643073128667e-10,40296492,HO2 + NO2 = HO2NO2,72351080,6597995
CB05,288,2.52643073128667e-10,40296492,C2O3 + NO2 = PAN,12442348,6597995
CB05,288,2.52643073128667e-10,40296492,CXO3 + NO2 = PANX,12028444,6597995
CB05,288,2.80342110636767e-10,44171564,HO2NO2 = HO2 + NO2,-80630432,7094858.5
CB05,288,2.80342110636767e-10,44171564,PAN = C2O3 + NO2,-7562226,7094858.5
CB05,288,2.80342110636767e-10,44171564,PANX = CXO3 + NO2,-7119596,7094858.5
CB05,288,2.80342110636767e-10,44171564,PAN = UNITY,-2440070,7094858.5
CB05,288,2.80342110636767e-10,44171564,PANX = UNITY,-2250347.75,7094858.5
CB05,288,2.80342110636767e-10,44171564,Others,-12425.3330078125,7094858.5
CB05,288,2.80342110636767e-10,44171564,HO2 + NO2 = HO2NO2,80799920,7094858.5
CB05,288,2.80342110636767e-10,44171564,C2O3 + NO2 = PAN,13498281,7094858.5
CB05,288,2.80342110636767e-10,44171564,CXO3 + NO2 = PANX,12811781,7094858.5
CB05,288,3.08754272149159e-10,48140300,HO2NO2 = HO2 + NO2,-89239176,7610237
CB05,288,3.08754272149159e-10,48140300,PAN = C2O3 + NO2,-8174012,7610237
CB05,288,3.08754272149159e-10,48140300,PANX = CXO3 + NO2,-7582979.5,7610237
CB05,288,3.08754272149159e-10,48140300,PAN = UNITY,-2637566.75,7610237
CB05,288,3.08754272149159e-10,48140300,PANX = UNITY,-2392762,7610237
CB05,288,3.08754272149159e-10,48140300,Others,-14396.2836914062,7610237
CB05,288,3.08754272149159e-10,48140300,HO2 + NO2 = HO2NO2,89427280,7610237
CB05,288,3.08754272149159e-10,48140300,C2O3 + NO2 = PAN,14585492,7610237
CB05,288,3.08754272149159e-10,48140300,CXO3 + NO2 = PANX,13638388,7610237
CB05,288,3.37872202438305e-10,52200700,HO2NO2 = HO2 + NO2,-98009032,8144177
CB05,288,3.37872202438305e-10,52200700,PAN = C2O3 + NO2,-8803299,8144177
CB05,288,3.37872202438305e-10,52200700,PANX = CXO3 + NO2,-8071399,8144177
CB05,288,3.37872202438305e-10,52200700,PAN = UNITY,-2840539.75,8144177
CB05,288,3.37872202438305e-10,52200700,PANX = UNITY,-2543467.75,8144177
CB05,288,3.37872202438305e-10,52200700,Others,-16557.771484375,8144177
CB05,288,3.37872202438305e-10,52200700,HO2 + NO2 = HO2NO2,98216152,8144177
CB05,288,3.37872202438305e-10,52200700,C2O3 + NO2 = PAN,15703411,8144177
CB05,288,3.37872202438305e-10,52200700,CXO3 + NO2 = PANX,14508923,8144177
