Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Net.Reaction.Rate
MCMv3.2,288.5,1.66363728348884e-11,4152808.5,1004849.5625
MCMv3.2,288.5,3.24130375317644e-11,7011774.5,1566847.75
MCMv3.2,288.5,5.13936879165122e-11,9959972,2056275.125
MCMv3.2,288.5,7.28165167052097e-11,13003588,2499746.25
MCMv3.2,288.5,9.61092386231321e-11,16145316,2917522.25
MCMv3.2,288.5,1.2091379286705e-10,19386512,3322935.5
MCMv3.2,288.5,1.47041448461671e-10,22727806,3724804.75
MCMv3.2,288.5,1.74384298667896e-10,26169410,4129041.5
MCMv3.2,288.5,2.02874939070341e-10,29711222,4539812.5
MCMv3.2,288.5,2.32582814119198e-10,33352774,4960102
MCMv3.2,288.5,2.63433747038633e-10,37093216,5392024
MCMv3.2,288.5,2.9536162404753e-10,40931488,5837151.5
MCMv3.2,288.5,3.28348181977134e-10,44866084,6296639.5
MCMv3.2,288.5,3.62373936413363e-10,48895228,6771096
MCMv3.2,288.5,3.97431004772741e-10,53016988,7261297
MCMv3.2,288.5,4.33505037422677e-10,57228996,7767402
MCMv3.2,288.5,4.70583405576264e-10,61528844,8289485
MCMv3.2,288.5,5.08653619224475e-10,65913768,8827426
MCMv3.2,288.5,5.47703271625011e-10,70380824,9380883
MCMv3.2,288.5,5.87719928279995e-10,74926912,9949486
MCMv3.2,288.5,6.28691210202703e-10,79548960,10532566
MCMv3.2,288.5,6.7060423880605e-10,84243640,11129447
MCMv3.2,288.5,7.13446524081007e-10,89007640,11739289
MCMv3.2,288.5,7.57205298462793e-10,93837816,12361236
MCMv3.2,288.5,8.0186807194238e-10,98730664,12994237
MCMv3.2,288.5,8.47423020644555e-10,103683152,13637386
MCMv3.2,288.5,8.9385931989483e-10,108692032,14289525
MCMv3.2,288.5,9.41167144219435e-10,113754152,14949379
MCMv3.2,288.5,9.89337167744964e-10,118866784,15615946
MCMv3.2,288.5,1.03835640086203e-09,124026920,16287868
MCMv3.2,288.5,1.08822573174905e-09,129231952,16963956
MCMv3.2,288.5,1.13894038644702e-09,134479312,17643120
MCMv3.2,288.5,1.19049681224226e-09,139766784,18324228
MCMv3.2,288.5,1.24289267766642e-09,145092112,19005986
MCMv3.2,288.5,1.29612653942957e-09,150453040,19687466
MCMv3.2,288.5,1.35019750935328e-09,155847840,20367456
MCMv3.2,288.5,1.4051071417498e-09,161274736,21045040
MCMv3.2,288.5,1.46085143981622e-09,166731808,21719108
MCMv3.2,288.5,1.51743351217704e-09,172217760,22388688
MCMv3.2,288.5,1.57485524621137e-09,177730752,23052906
MCMv3.2,288.5,1.63311775214225e-09,183269904,23711068
