Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Net.Reaction.Rate
CB05,288.5,3.43789524626104e-10,53016992,8197161
CB05,288.5,3.74073827469346e-10,57228996,8755902
CB05,288.5,4.05067535069747e-10,61528840,9332864
CB05,288.5,4.36768704537016e-10,65913768,9927550
CB05,288.5,4.69176253403703e-10,70380824,10539506
CB05,288.5,5.02356545251104e-10,74926912,11167962
CB05,288.5,5.36370392545393e-10,79548968,11811712
CB05,288.5,5.71105995827992e-10,84243632,12469740
CB05,288.5,6.06563466121202e-10,89007640,13141200
CB05,288.5,6.42743636092291e-10,93837816,13825412
CB05,288.5,6.7964783800889e-10,98730664,14520969
CB05,288.5,7.17278125783594e-10,103683152,15226753
CB05,288.5,7.556366643513e-10,108692032,15941536
CB05,288.5,7.94726506825327e-10,113754152,16664561
CB05,288.5,8.34550262229783e-10,118866776,17395356
CB05,288.5,8.75108763231935e-10,124026936,18132016
CB05,288.5,9.16409836904108e-10,129231944,18873254
CB05,288.5,9.58457979649552e-10,134479312,19617798
CB05,288.5,1.00125874258339e-09,139766784,20364600
CB05,288.5,1.04481800988765e-09,145092112,21112542
CB05,288.5,1.08914233187818e-09,150453056,21860532
CB05,288.5,1.13423848091543e-09,155847840,22608322
CB05,288.5,1.18011589389511e-09,161274736,23354194
CB05,288.5,1.22677779046398e-09,166731808,24096760
CB05,288.5,1.27423516183001e-09,172217744,24834892
CB05,288.5,1.32249644568816e-09,177730752,25567786
CB05,288.5,1.37157074586725e-09,183269904,26294224
CB05,288.5,1.42146450166081e-09,188833696,27013672
CB05,288.5,1.47218737200916e-09,194420912,27725142
CB05,288.5,1.52375090323176e-09,200030336,28427816
CB05,288.5,1.57616442120201e-09,205661104,29120972
CB05,288.5,1.6294365856595e-09,211312176,29803858
CB05,288.5,1.68357638941075e-09,216982576,30475476
CB05,288.5,1.73859260321763e-09,222671136,31135422
CB05,288.5,1.79449355375283e-09,228377056,31783196
CB05,288.5,1.82277770655048e-09,231236416,32102214
CB05,288.5,2.44309972252665e-09,289139136,37726984
CB05,288.5,3.16348813811373e-09,347954016,41777952
CB05,288.5,3.97657684558794e-09,407140192,44331032
CB05,288.5,4.87430229512142e-09,466284736,45634592
CB05,288.5,5.82774095647665e-09,525068832,46013384
CB05,288.5,6.81834277926896e-09,583271360,45737972
CB05,288.5,7.83100695400663e-09,640735552,45037588
CB05,288.5,8.85415296636438e-09,697357696,44037708
CB05,288.5,9.87932757823273e-09,753079872,42866676
CB05,288.5,1.09005817705565e-08,807879296,41592388
CB05,288.5,1.19135457055108e-08,861745280,40268648
CB05,288.5,1.2915284841597e-08,914687232,38930544
CB05,288.5,1.39038007773706e-08,966721344,37614588
CB05,288.5,1.48776155839414e-08,1017862528,36339616
CB05,288.5,1.58358304247486e-08,1068134464,35096144
CB05,288.5,1.67779230508813e-08,1117560192,33885940
CB05,288.5,1.77036536541664e-08,1166164864,32733202
CB05,288.5,1.86129600621143e-08,1213975936,31635492
CB05,288.5,1.95059186580693e-08,1261015296,30584092
CB05,288.5,2.03827141831425e-08,1307309568,29574120
CB05,288.5,2.12436077617895e-08,1352882304,28605036
CB05,288.5,2.20890132851537e-08,1397756672,27679956
CB05,288.5,2.29192025358316e-08,1441953920,26805034
CB05,288.5,2.37345290088342e-08,1485495808,25977572
CB05,288.5,2.45353852790231e-08,1528399616,25187434
CB05,288.5,2.53221550394755e-08,1570685184,24433428
CB05,288.5,2.60952432995509e-08,1612370944,23713214
CB05,288.5,2.6855294876782e-08,1653484288,23023288
CB05,288.5,2.76023044420981e-08,1694026112,22364000
CB05,288.5,2.8336906154891e-08,1734019328,21734730
CB05,288.5,2.9059362915973e-08,1773476992,21131984
CB05,288.5,2.97700388784961e-08,1812411008,20559612
CB05,288.5,3.04692626684755e-08,1850835840,20013084
CB05,288.5,3.11575369948969e-08,1888769280,19494888
CB05,288.5,3.18351176531451e-08,1926220800,19003442
CB05,288.5,3.2502292413028e-08,1963198592,18532776
CB05,288.5,3.31593774660632e-08,1999719168,18080726
CB05,288.5,3.38066357130629e-08,2035787648,17646062
CB05,288.5,3.44443833455443e-08,2071413248,17228218
CB05,288.5,3.50729472131661e-08,2106610944,16824284
CB05,289,2.58920489215608e-12,1390652.25,565768
CB05,289,1.16343219780379e-11,4217411,1467165
CB05,289,2.55410102789622e-11,7121589.5,2134940.75
CB05,289,4.29443321181555e-11,10116725,2665987.75
CB05,289,6.26789870006306e-11,13208963,3126226.75
CB05,289,8.40441119476232e-11,16400931,3553810.5
CB05,289,1.06734537874686e-10,19693894,3970069.5
CB05,289,1.30485094951283e-10,23088474,4387354
CB05,289,1.55158039194525e-10,26584782,4812925
CB05,289,1.80678860761674e-10,30182656,5251315.5
CB05,289,2.07001138452512e-10,33881536,5705185.5
CB05,289,2.34095270945645e-10,37680520,6176126
CB05,289,2.61940774626268e-10,41578444,6665239
CB05,289,2.90524160284633e-10,45573752,7173110.5
CB05,289,3.19834908557581e-10,49664560,7699949
CB05,289,3.49870743487912e-10,53848860,8245879.5
CB05,289,3.80626363760683e-10,58124224,8810679
CB05,289,4.12098744018152e-10,62488116,9393876
CB05,289,4.44285830347724e-10,66937700,9995051
CB05,289,4.77186179459466e-10,71469960,10613746
CB05,289,5.10885778126635e-10,76081792,11248785
CB05,289,5.45402389917626e-10,80769888,11899151
CB05,289,5.80646253300898e-10,85530976,12563855
CB05,289,6.16617201742997e-10,90361672,13242509
CB05,289,6.53316234444645e-10,95258752,13933531
CB05,289,6.90744406117716e-10,100218736,14635907
CB05,289,7.28903493119049e-10,105238432,15348507
CB05,289,7.67795771405844e-10,110314640,16070239
CB05,289,8.07423683468755e-10,115444304,16801014
CB05,289,8.47790893043765e-10,120624552,17538776
CB05,289,8.88897622175477e-10,125852328,18282298
CB05,289,9.30750587713192e-10,131125000,19030192
CB05,289,9.7335528526088e-10,136440128,19781428
CB05,289,1.01671726593366e-09,141795520,20534912
CB05,289,1.06084230289127e-09,147188656,21289904
CB05,289,1.10573694644955e-09,152617664,22045580
CB05,289,1.1514098563481e-09,158080736,22800234
CB05,289,1.19786514041209e-09,163575760,23552574
CB05,289,1.24511190247034e-09,169101264,24301222
CB05,289,1.29315902430704e-09,174655632,25045572
CB05,289,1.3420154987287e-09,180237392,25784296
CB05,289,1.3916899854749e-09,185845408,26516734
CB05,289,1.44219114428523e-09,191478160,27242036
CB05,289,1.49352530343094e-09,197134320,27959264
CB05,289,1.54570578558832e-09,202813248,28667682
CB05,289,1.59874180560848e-09,208513584,29366380
CB05,289,1.65264257834252e-09,214234240,30054932
CB05,289,1.70741709659694e-09,219974320,30732396
CB05,289,1.76307413113364e-09,225732816,31397554
CB05,289,1.81962167555838e-09,231508832,32050248
CB05,289,1.84823190085837e-09,234403280,32371722
