Mechanism,Temperature,Reaction,Rate.Constant
MOZART-4,305,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,305,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,305,PAN = UNITY,3.9999998989515e-05
MOZART-4,305.5,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,305.5,HO2 + NO2 = HO2NO2,1.24585780060527e-12
MOZART-4,305.5,HO2NO2 + OH = NO2,2.90095074698127e-12
MOZART-4,305.5,HO2NO2 = HO2 + NO2,0.469099879264832
MOZART-4,305.5,HO2NO2 = UNITY,0.000255999999353662
MOZART-4,305.5,MCO3 + NO2 = MPAN,8.76477709854662e-12
MOZART-4,305.5,MPAN + OH = .5 HYAC + .5 NO3 + .5 CH2O + .5 HO2 + .5 CO2,2.86332520194055e-11
MOZART-4,305.5,MPAN = MCO3 + NO2,0.00296871736645699
MOZART-4,305.5,MPAN = UNITY,3.9999998989515e-05
MOZART-4,305.5,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,305.5,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,305.5,PAN = UNITY,3.9999998989515e-05
MOZART-4,306,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,306,HO2 + NO2 = HO2NO2,1.24585780060527e-12
MOZART-4,306,HO2NO2 + OH = NO2,2.90095074698127e-12
MOZART-4,306,HO2NO2 = HO2 + NO2,0.469099879264832
MOZART-4,306,HO2NO2 = UNITY,0.000255999999353662
MOZART-4,306,MCO3 + NO2 = MPAN,8.76477709854662e-12
MOZART-4,306,MPAN + OH = .5 HYAC + .5 NO3 + .5 CH2O + .5 HO2 + .5 CO2,2.86332520194055e-11
MOZART-4,306,MPAN = MCO3 + NO2,0.00296871736645699
MOZART-4,306,MPAN = UNITY,3.9999998989515e-05
MOZART-4,306,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,306,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,306,PAN = UNITY,3.9999998989515e-05
MOZART-4,306.5,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,306.5,HO2 + NO2 = HO2NO2,1.24585780060527e-12
MOZART-4,306.5,HO2NO2 + OH = NO2,2.90095074698127e-12
MOZART-4,306.5,HO2NO2 = HO2 + NO2,0.469099879264832
MOZART-4,306.5,HO2NO2 = UNITY,0.000255999999353662
MOZART-4,306.5,MCO3 + NO2 = MPAN,8.76477709854662e-12
MOZART-4,306.5,MPAN + OH = .5 HYAC + .5 NO3 + .5 CH2O + .5 HO2 + .5 CO2,2.86332520194055e-11
MOZART-4,306.5,MPAN = MCO3 + NO2,0.00296871736645699
MOZART-4,306.5,MPAN = UNITY,3.9999998989515e-05
MOZART-4,306.5,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,306.5,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,306.5,PAN = UNITY,3.9999998989515e-05
MOZART-4,307,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,307,HO2 + NO2 = HO2NO2,1.24585780060527e-12
MOZART-4,307,HO2NO2 + OH = NO2,2.90095074698127e-12
MOZART-4,307,HO2NO2 = HO2 + NO2,0.469099879264832
MOZART-4,307,HO2NO2 = UNITY,0.000255999999353662
MOZART-4,307,MCO3 + NO2 = MPAN,8.76477709854662e-12
MOZART-4,307,MPAN + OH = .5 HYAC + .5 NO3 + .5 CH2O + .5 HO2 + .5 CO2,2.86332520194055e-11
MOZART-4,307,MPAN = MCO3 + NO2,0.00296871736645699
MOZART-4,307,MPAN = UNITY,3.9999998989515e-05
MOZART-4,307,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,307,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,307,PAN = UNITY,3.9999998989515e-05
MOZART-4,307.5,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,307.5,HO2 + NO2 = HO2NO2,1.24585780060527e-12
MOZART-4,307.5,HO2NO2 + OH = NO2,2.90095074698127e-12
MOZART-4,307.5,HO2NO2 = HO2 + NO2,0.469099879264832
MOZART-4,307.5,HO2NO2 = UNITY,0.000255999999353662
MOZART-4,307.5,MCO3 + NO2 = MPAN,8.76477709854662e-12
MOZART-4,307.5,MPAN + OH = .5 HYAC + .5 NO3 + .5 CH2O + .5 HO2 + .5 CO2,2.86332520194055e-11
MOZART-4,307.5,MPAN = MCO3 + NO2,0.00296871736645699
MOZART-4,307.5,MPAN = UNITY,3.9999998989515e-05
MOZART-4,307.5,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,307.5,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,307.5,PAN = UNITY,3.9999998989515e-05
MOZART-4,308,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,308,HO2 + NO2 = HO2NO2,1.24585780060527e-12
MOZART-4,308,HO2NO2 + OH = NO2,2.90095074698127e-12
MOZART-4,308,HO2NO2 = HO2 + NO2,0.469099879264832
MOZART-4,308,HO2NO2 = UNITY,0.000255999999353662
MOZART-4,308,MCO3 + NO2 = MPAN,8.76477709854662e-12
MOZART-4,308,MPAN + OH = .5 HYAC + .5 NO3 + .5 CH2O + .5 HO2 + .5 CO2,2.86332520194055e-11
MOZART-4,308,MPAN = MCO3 + NO2,0.00296871736645699
MOZART-4,308,MPAN = UNITY,3.9999998989515e-05
MOZART-4,308,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,308,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,308,PAN = UNITY,3.9999998989515e-05
MOZART-4,308.5,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,308.5,HO2 + NO2 = HO2NO2,1.24585780060527e-12
MOZART-4,308.5,HO2NO2 + OH = NO2,2.90095074698127e-12
MOZART-4,308.5,HO2NO2 = HO2 + NO2,0.469099879264832
MOZART-4,308.5,HO2NO2 = UNITY,0.000255999999353662
MOZART-4,308.5,MCO3 + NO2 = MPAN,8.76477709854662e-12
MOZART-4,308.5,MPAN + OH = .5 HYAC + .5 NO3 + .5 CH2O + .5 HO2 + .5 CO2,2.86332520194055e-11
MOZART-4,308.5,MPAN = MCO3 + NO2,0.00296871736645699
MOZART-4,308.5,MPAN = UNITY,3.9999998989515e-05
MOZART-4,308.5,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,308.5,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,308.5,PAN = UNITY,3.9999998989515e-05
MOZART-4,309,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,309,HO2 + NO2 = HO2NO2,1.24585780060527e-12
MOZART-4,309,HO2NO2 + OH = NO2,2.90095074698127e-12
MOZART-4,309,HO2NO2 = HO2 + NO2,0.469099879264832
MOZART-4,309,HO2NO2 = UNITY,0.000255999999353662
MOZART-4,309,MCO3 + NO2 = MPAN,8.76477709854662e-12
MOZART-4,309,MPAN + OH = .5 HYAC + .5 NO3 + .5 CH2O + .5 HO2 + .5 CO2,2.86332520194055e-11
MOZART-4,309,MPAN = MCO3 + NO2,0.00296871736645699
MOZART-4,309,MPAN = UNITY,3.9999998989515e-05
MOZART-4,309,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,309,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,309,PAN = UNITY,3.9999998989515e-05
MOZART-4,309.5,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,309.5,HO2 + NO2 = HO2NO2,1.24585780060527e-12
MOZART-4,309.5,HO2NO2 + OH = NO2,2.90095074698127e-12
MOZART-4,309.5,HO2NO2 = HO2 + NO2,0.469099879264832
MOZART-4,309.5,HO2NO2 = UNITY,0.000255999999353662
MOZART-4,309.5,MCO3 + NO2 = MPAN,8.76477709854662e-12
MOZART-4,309.5,MPAN + OH = .5 HYAC + .5 NO3 + .5 CH2O + .5 HO2 + .5 CO2,2.86332520194055e-11
MOZART-4,309.5,MPAN = MCO3 + NO2,0.00296871736645699
MOZART-4,309.5,MPAN = UNITY,3.9999998989515e-05
MOZART-4,309.5,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,309.5,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,309.5,PAN = UNITY,3.9999998989515e-05
MOZART-4,310,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,310,HO2 + NO2 = HO2NO2,1.24585780060527e-12
MOZART-4,310,HO2NO2 + OH = NO2,2.90095074698127e-12
MOZART-4,310,HO2NO2 = HO2 + NO2,0.469099879264832
MOZART-4,310,HO2NO2 = UNITY,0.000255999999353662
MOZART-4,310,MCO3 + NO2 = MPAN,8.76477709854662e-12
MOZART-4,310,MPAN + OH = .5 HYAC + .5 NO3 + .5 CH2O + .5 HO2 + .5 CO2,2.86332520194055e-11
MOZART-4,310,MPAN = MCO3 + NO2,0.00296871736645699
MOZART-4,310,MPAN = UNITY,3.9999998989515e-05
MOZART-4,310,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,310,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,310,PAN = UNITY,3.9999998989515e-05
MOZART-4,310.5,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,310.5,HO2 + NO2 = HO2NO2,1.24585780060527e-12
MOZART-4,310.5,HO2NO2 + OH = NO2,2.90095074698127e-12
MOZART-4,310.5,HO2NO2 = HO2 + NO2,0.469099879264832
MOZART-4,310.5,HO2NO2 = UNITY,0.000255999999353662
MOZART-4,310.5,MCO3 + NO2 = MPAN,8.76477709854662e-12
MOZART-4,310.5,MPAN + OH = .5 HYAC + .5 NO3 + .5 CH2O + .5 HO2 + .5 CO2,2.86332520194055e-11
MOZART-4,310.5,MPAN = MCO3 + NO2,0.00296871736645699
MOZART-4,310.5,MPAN = UNITY,3.9999998989515e-05
MOZART-4,310.5,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,310.5,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,310.5,PAN = UNITY,3.9999998989515e-05
MOZART-4,311,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,311,HO2 + NO2 = HO2NO2,1.24585780060527e-12
MOZART-4,311,HO2NO2 + OH = NO2,2.90095074698127e-12
MOZART-4,311,HO2NO2 = HO2 + NO2,0.469099879264832
MOZART-4,311,HO2NO2 = UNITY,0.000255999999353662
MOZART-4,311,MCO3 + NO2 = MPAN,8.76477709854662e-12
MOZART-4,311,MPAN + OH = .5 HYAC + .5 NO3 + .5 CH2O + .5 HO2 + .5 CO2,2.86332520194055e-11
MOZART-4,311,MPAN = MCO3 + NO2,0.00296871736645699
MOZART-4,311,MPAN = UNITY,3.9999998989515e-05
MOZART-4,311,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,311,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,311,PAN = UNITY,3.9999998989515e-05
MOZART-4,311.5,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,311.5,HO2 + NO2 = HO2NO2,1.24585780060527e-12
MOZART-4,311.5,HO2NO2 + OH = NO2,2.90095074698127e-12
MOZART-4,311.5,HO2NO2 = HO2 + NO2,0.469099879264832
MOZART-4,311.5,HO2NO2 = UNITY,0.000255999999353662
MOZART-4,311.5,MCO3 + NO2 = MPAN,8.76477709854662e-12
MOZART-4,311.5,MPAN + OH = .5 HYAC + .5 NO3 + .5 CH2O + .5 HO2 + .5 CO2,2.86332520194055e-11
MOZART-4,311.5,MPAN = MCO3 + NO2,0.00296871736645699
MOZART-4,311.5,MPAN = UNITY,3.9999998989515e-05
MOZART-4,311.5,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,311.5,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,311.5,PAN = UNITY,3.9999998989515e-05
MOZART-4,312,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,312,HO2 + NO2 = HO2NO2,1.24585780060527e-12
MOZART-4,312,HO2NO2 + OH = NO2,2.90095074698127e-12
MOZART-4,312,HO2NO2 = HO2 + NO2,0.469099879264832
MOZART-4,312,HO2NO2 = UNITY,0.000255999999353662
MOZART-4,312,MCO3 + NO2 = MPAN,8.76477709854662e-12
MOZART-4,312,MPAN + OH = .5 HYAC + .5 NO3 + .5 CH2O + .5 HO2 + .5 CO2,2.86332520194055e-11
MOZART-4,312,MPAN = MCO3 + NO2,0.00296871736645699
MOZART-4,312,MPAN = UNITY,3.9999998989515e-05
MOZART-4,312,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,312,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,312,PAN = UNITY,3.9999998989515e-05
MOZART-4,312.5,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,312.5,HO2 + NO2 = HO2NO2,1.24585780060527e-12
MOZART-4,312.5,HO2NO2 + OH = NO2,2.90095074698127e-12
MOZART-4,312.5,HO2NO2 = HO2 + NO2,0.469099879264832
MOZART-4,312.5,HO2NO2 = UNITY,0.000255999999353662
MOZART-4,312.5,MCO3 + NO2 = MPAN,8.76477709854662e-12
MOZART-4,312.5,MPAN + OH = .5 HYAC + .5 NO3 + .5 CH2O + .5 HO2 + .5 CO2,2.86332520194055e-11
MOZART-4,312.5,MPAN = MCO3 + NO2,0.00296871736645699
MOZART-4,312.5,MPAN = UNITY,3.9999998989515e-05
MOZART-4,312.5,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,312.5,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,312.5,PAN = UNITY,3.9999998989515e-05
MOZART-4,313,CH3CO3 + NO2 = PAN,9.56532769658125e-12
MOZART-4,313,HO2 + NO2 = HO2NO2,1.24585780060527e-12
MOZART-4,313,HO2NO2 + OH = NO2,2.90095074698127e-12
MOZART-4,313,HO2NO2 = HO2 + NO2,0.469099879264832
MOZART-4,313,HO2NO2 = UNITY,0.000255999999353662
MOZART-4,313,MCO3 + NO2 = MPAN,8.76477709854662e-12
MOZART-4,313,MPAN + OH = .5 HYAC + .5 NO3 + .5 CH2O + .5 HO2 + .5 CO2,2.86332520194055e-11
MOZART-4,313,MPAN = MCO3 + NO2,0.00296871736645699
MOZART-4,313,MPAN = UNITY,3.9999998989515e-05
MOZART-4,313,PAN + OH = CH2O + NO3 + CO2,3.99999992980668e-14
MOZART-4,313,PAN = CH3CO3 + NO2,0.00270042265765369
MOZART-4,313,PAN = UNITY,3.9999998989515e-05
