Reactants,Reaction.Rates,Mechanism,Times
HO2 + NO,1037096704,CRIv2,Day 1
HO2 + NO,195232352,CRIv2,Day 2
CH3O2 + NO,178902528,CRIv2,Day 1
CH3O2 + NO,49641656,CRIv2,Day 2
CH3CO3 + NO,140387712,CRIv2,Day 1
CH3CO3 + NO,18681554,CRIv2,Day 2
RN13O2 + NO,99514304,CRIv2,Day 1
RN13O2 + NO,20875120,CRIv2,Day 2
RU11O2 + NO,116743648,CRIv2,Day 1
RU11O2 + NO,826.498352050781,CRIv2,Day 2
C2H5O2 + NO,91320384,CRIv2,Day 1
C2H5O2 + NO,18401934,CRIv2,Day 2
RU14O2 + NO,99177456,CRIv2,Day 1
RU14O2 + NO,2.49346103118296e-14,CRIv2,Day 2
RN16O2 + NO,85846688,CRIv2,Day 1
RN16O2 + NO,12731912,CRIv2,Day 2
RN15AO2 + NO,83219760,CRIv2,Day 1
RN15AO2 + NO,12383143,CRIv2,Day 2
RI16O2 + NO,45034552,CRIv2,Day 1
RI16O2 + NO,6326769,CRIv2,Day 2
Others,308954272,CRIv2,Day 1
Others,40263272,CRIv2,Day 2
