Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Net.Reaction.Rate
MOZART-4,288.5,6.21306062154048e-11,13003588,2990732
MOZART-4,288.5,8.37765204431129e-11,16145316,3485707.25
MOZART-4,288.5,1.07627254331e-10,19386512,3934860
MOZART-4,288.5,1.33328501017438e-10,22727806,4352813
MOZART-4,288.5,1.60780458391407e-10,26169410,4751420
MOZART-4,288.5,1.89666365946195e-10,29711222,5139939
MOZART-4,288.5,2.19864418338211e-10,33352774,5525380
MOZART-4,288.5,2.51289627994922e-10,37093216,5913013
MOZART-4,288.5,2.83879975082613e-10,40931488,6306763.5
MOZART-4,288.5,3.17589371467975e-10,44866088,6709540
MOZART-4,288.5,3.52379070367448e-10,48895232,7123492
MOZART-4,288.5,3.88224313807584e-10,53016992,7550098
MOZART-4,288.5,4.25099011547303e-10,57228996,7990387.5
MOZART-4,288.5,4.6298104239284e-10,61528840,8444982
MOZART-4,288.5,5.01964803056865e-10,65913768,8914361
MOZART-4,288.5,5.41953482091628e-10,70380824,9398485
MOZART-4,288.5,5.82891068745539e-10,74926912,9897157
MOZART-4,288.5,6.24759133316388e-10,79548968,10409912
MOZART-4,288.5,6.67540522858445e-10,84243632,10936387
MOZART-4,288.5,7.11219638738214e-10,89007640,11475786
MOZART-4,288.5,7.55782214589829e-10,93837816,12027134
MOZART-4,288.5,8.01215649381959e-10,98730664,12589527
MOZART-4,288.5,8.47508563328603e-10,103683152,13161923
MOZART-4,288.5,8.94651186467144e-10,108692032,13743214
MOZART-4,288.5,9.42634970080292e-10,113754152,14332202
MOZART-4,288.5,9.91452475673782e-10,118866776,14927687
MOZART-4,288.5,1.04109443288536e-09,124026936,15528465
MOZART-4,288.5,1.09156017558121e-09,129231944,16133354
MOZART-4,288.5,1.14284659513686e-09,134479312,16741129
MOZART-4,288.5,1.19495191519547e-09,139766784,17350568
MOZART-4,288.5,1.24787546962324e-09,145092112,17960522
MOZART-4,288.5,1.30161792455397e-09,150453056,18569828
MOZART-4,288.5,1.35618072327759e-09,155847840,19177530
MOZART-4,288.5,1.4115679736193e-09,161274736,19782516
MOZART-4,288.5,1.46777834331147e-09,166731808,20383650
MOZART-4,288.5,1.52481782755842e-09,172217744,20980122
MOZART-4,288.5,1.58269097827457e-09,177730752,21571036
MOZART-4,288.5,1.64140268044122e-09,183269904,22155574
MOZART-4,288.5,1.7009547104152e-09,188833696,22733016
MOZART-4,288.5,1.76135350749007e-09,194420912,23302600
MOZART-4,288.5,1.82260639913778e-09,200030336,23863688
MOZART-4,288.5,1.88471838136195e-09,205661104,24415682
MOZART-4,288.5,1.94769467221079e-09,211312176,24957886
MOZART-4,288.5,2.01154026768791e-09,216982576,25489876
MOZART-4,288.5,2.0762596086854e-09,222671136,26011106
MOZART-4,288.5,2.14185669200617e-09,228377056,26521144
MOZART-4,288.5,2.17498508092717e-09,231236416,26771822
MOZART-4,288.5,2.88412005389205e-09,289139136,31123596
MOZART-4,288.5,3.67981378701643e-09,347954016,34158992
MOZART-4,288.5,4.55233584162329e-09,407140192,35999028
MOZART-4,288.5,5.48608269923534e-09,466284736,36896348
MOZART-4,288.5,6.46394626713231e-09,525068832,37106268
MOZART-4,288.5,7.47072004259053e-09,583271360,36839360
MOZART-4,288.5,8.49396553093129e-09,640735552,36250504
MOZART-4,288.5,9.52397982700859e-09,697357696,35454716
MOZART-4,288.5,1.05535917782618e-08,753079872,34537532
MOZART-4,288.5,1.15776650488897e-08,807879296,33558136
MOZART-4,288.5,1.25923627081193e-08,861745280,32550132
MOZART-4,288.5,1.35950859458944e-08,914687232,31543132
MOZART-4,288.5,1.4584056629019e-08,966721344,30559246
MOZART-4,288.5,1.55579371607928e-08,1017862528,29600452
MOZART-4,288.5,1.6515919298854e-08,1068134464,28673536
MOZART-4,288.5,1.7457544743138e-08,1117560192,27778942
MOZART-4,288.5,1.83826180943925e-08,1166164864,26922944
MOZART-4,288.5,1.9291110930908e-08,1213975936,26110824
MOZART-4,288.5,2.01831262813812e-08,1261015296,25332036
MOZART-4,288.5,2.10588666504918e-08,1307309568,24585896
MOZART-4,288.5,2.19186109262637e-08,1352882304,23871806
MOZART-4,288.5,2.2762787210695e-08,1397756672,23190330
MOZART-4,288.5,2.35916761681665e-08,1441953920,22542980
MOZART-4,288.5,2.4405643728187e-08,1485495808,21923976
MOZART-4,288.5,2.52050860183317e-08,1528399616,21331460
MOZART-4,288.5,2.59904027188895e-08,1570685184,20764142
MOZART-4,288.5,2.67619952865061e-08,1612370944,20220950
MOZART-4,288.5,2.75205174204984e-08,1653484288,19701492
MOZART-4,288.5,2.82659762262938e-08,1694026112,19204406
MOZART-4,288.5,2.89989969814997e-08,1734019328,18728138
MOZART-4,288.5,2.97198603504967e-08,1773476992,18270794
MOZART-4,288.5,3.04289216046527e-08,1812411008,17832662
MOZART-4,288.5,3.11265218044809e-08,1850835840,17412752
MOZART-4,288.5,3.18131654353238e-08,1888769280,17008340
MOZART-4,288.5,3.2489108292566e-08,1926220800,16622792
MOZART-4,288.5,3.31546381460157e-08,1963198592,16252083
MOZART-4,288.5,3.38100747399039e-08,1999719168,15896438
MOZART-4,288.5,3.44556845277566e-08,2035787648,15554269
MOZART-4,288.5,3.50917872538048e-08,2071413248,15224031
MOZART-4,288.5,3.57186991095659e-08,2106610944,14905989
MOZART-4,289,4.76184890130238e-12,1390652.25,352110.125
MOZART-4,289,1.52044540152607e-11,4217411,1090565.625
MOZART-4,289,2.82315629207552e-11,7121589.5,1793113.625
MOZART-4,289,4.44300429780498e-11,10116725,2424568
MOZART-4,289,6.38296637767155e-11,13208963,2981497.75
MOZART-4,289,8.59185500523552e-11,16400931,3477184.5
MOZART-4,289,1.10222928006998e-10,19693894,3928103.5
