Mechanism,Temperature,NOx.Emissions,Rate.Constant
MCMv3.2,288.5,57228996,6.54835457680747e-05
MCMv3.2,288.5,61528844,6.54835457680747e-05
MCMv3.2,288.5,65913768,6.54835457680747e-05
MCMv3.2,288.5,70380824,6.54835457680747e-05
MCMv3.2,288.5,74926912,6.54835457680747e-05
MCMv3.2,288.5,79548960,6.54835457680747e-05
MCMv3.2,288.5,84243640,6.54835457680747e-05
MCMv3.2,288.5,89007640,6.54835457680747e-05
MCMv3.2,288.5,93837816,6.54835457680747e-05
MCMv3.2,288.5,98730664,6.54835457680747e-05
MCMv3.2,288.5,103683152,6.54835457680747e-05
MCMv3.2,288.5,108692032,6.54835457680747e-05
MCMv3.2,288.5,113754152,6.54835457680747e-05
MCMv3.2,288.5,118866784,6.54835457680747e-05
MCMv3.2,288.5,124026920,6.54835457680747e-05
MCMv3.2,288.5,129231952,6.54835457680747e-05
MCMv3.2,288.5,134479312,6.54835457680747e-05
MCMv3.2,288.5,139766784,6.54835457680747e-05
MCMv3.2,288.5,145092112,6.54835457680747e-05
MCMv3.2,288.5,150453040,6.54835457680747e-05
MCMv3.2,288.5,155847840,6.54835457680747e-05
MCMv3.2,288.5,161274736,6.54835457680747e-05
MCMv3.2,288.5,166731808,6.54835457680747e-05
MCMv3.2,288.5,172217760,6.54835457680747e-05
MCMv3.2,288.5,177730752,6.54835457680747e-05
MCMv3.2,288.5,183269904,6.54835457680747e-05
MCMv3.2,288.5,188833696,6.54835457680747e-05
MCMv3.2,288.5,194420896,6.54835457680747e-05
MCMv3.2,288.5,200030336,6.54835457680747e-05
MCMv3.2,288.5,205661072,6.54835457680747e-05
MCMv3.2,288.5,211312144,6.54835457680747e-05
MCMv3.2,288.5,216982576,6.54835457680747e-05
MCMv3.2,288.5,222671136,6.54835457680747e-05
MCMv3.2,288.5,228377056,6.54835457680747e-05
MCMv3.2,288.5,231236432,6.54835457680747e-05
MCMv3.2,288.5,289139136,6.54835457680747e-05
MCMv3.2,288.5,347954016,6.54835457680747e-05
MCMv3.2,288.5,407140192,6.54835457680747e-05
MCMv3.2,288.5,466284736,6.54835457680747e-05
MCMv3.2,288.5,525068832,6.54835457680747e-05
MCMv3.2,288.5,583271360,6.54835457680747e-05
MCMv3.2,288.5,640735616,6.54835457680747e-05
MCMv3.2,288.5,697357568,6.54835457680747e-05
MCMv3.2,288.5,753079808,6.54835457680747e-05
MCMv3.2,288.5,807879360,6.54835457680747e-05
MCMv3.2,288.5,861745280,6.54835457680747e-05
MCMv3.2,288.5,914687168,6.54835457680747e-05
MCMv3.2,288.5,966721344,6.54835457680747e-05
MCMv3.2,288.5,1017862592,6.54835457680747e-05
MCMv3.2,288.5,1068134528,6.54835457680747e-05
MCMv3.2,288.5,1117560192,6.54835457680747e-05
MCMv3.2,288.5,1166164864,6.54835457680747e-05
MCMv3.2,288.5,1213975936,6.54835457680747e-05
MCMv3.2,288.5,1261015296,6.54835457680747e-05
MCMv3.2,288.5,1307309440,6.54835457680747e-05
MCMv3.2,288.5,1352882304,6.54835457680747e-05
MCMv3.2,288.5,1397756672,6.54835457680747e-05
MCMv3.2,288.5,1441953920,6.54835457680747e-05
MCMv3.2,288.5,1485495808,6.54835457680747e-05
MCMv3.2,288.5,1528399616,6.54835457680747e-05
MCMv3.2,288.5,1570685184,6.54835457680747e-05
MCMv3.2,288.5,1612370944,6.54835457680747e-05
MCMv3.2,288.5,1653484288,6.54835457680747e-05
MCMv3.2,288.5,1694026112,6.54835457680747e-05
MCMv3.2,288.5,1734019456,6.54835457680747e-05
MCMv3.2,288.5,1773476736,6.54835457680747e-05
MCMv3.2,288.5,1812411008,6.54835457680747e-05
MCMv3.2,288.5,1850835840,6.54835457680747e-05
MCMv3.2,288.5,1888769280,6.54835457680747e-05
MCMv3.2,288.5,1926220928,6.54835457680747e-05
MCMv3.2,288.5,1963198592,6.54835457680747e-05
MCMv3.2,288.5,1999719168,6.54835457680747e-05
MCMv3.2,288.5,2035787520,6.54835457680747e-05
MCMv3.2,288.5,2071413248,6.54835457680747e-05
MCMv3.2,288.5,2106610816,6.54835457680747e-05
MCMv3.2,289,1390652.125,7.10993554093875e-05
MCMv3.2,289,4217411,7.10993554093875e-05
MCMv3.2,289,7121589.5,7.10993554093875e-05
MCMv3.2,289,10116726,7.10993554093875e-05
MCMv3.2,289,13208964,7.10993554093875e-05
MCMv3.2,289,16400931,7.10993554093875e-05
MCMv3.2,289,19693894,7.10993554093875e-05
MCMv3.2,289,23088474,7.10993554093875e-05
MCMv3.2,289,26584782,7.10993554093875e-05
MCMv3.2,289,30182656,7.10993554093875e-05
MCMv3.2,289,33881536,7.10993554093875e-05
MCMv3.2,289,37680520,7.10993554093875e-05
MCMv3.2,289,41578444,7.10993554093875e-05
MCMv3.2,289,45573752,7.10993554093875e-05
MCMv3.2,289,49664560,7.10993554093875e-05
MCMv3.2,289,53848856,7.10993554093875e-05
MCMv3.2,289,58124228,7.10993554093875e-05
MCMv3.2,289,62488116,7.10993554093875e-05
MCMv3.2,289,66937700,7.10993554093875e-05
MCMv3.2,289,71469952,7.10993554093875e-05
MCMv3.2,289,76081792,7.10993554093875e-05
MCMv3.2,289,80769888,7.10993554093875e-05
MCMv3.2,289,85530976,7.10993554093875e-05
MCMv3.2,289,90361672,7.10993554093875e-05
MCMv3.2,289,95258752,7.10993554093875e-05
MCMv3.2,289,100218736,7.10993554093875e-05
MCMv3.2,289,105238432,7.10993554093875e-05
MCMv3.2,289,110314656,7.10993554093875e-05
MCMv3.2,289,115444304,7.10993554093875e-05
MCMv3.2,289,120624552,7.10993554093875e-05
MCMv3.2,289,125852328,7.10993554093875e-05
MCMv3.2,289,131125000,7.10993554093875e-05
MCMv3.2,289,136440128,7.10993554093875e-05
MCMv3.2,289,141795520,7.10993554093875e-05
MCMv3.2,289,147188656,7.10993554093875e-05
MCMv3.2,289,152617664,7.10993554093875e-05
MCMv3.2,289,158080752,7.10993554093875e-05
MCMv3.2,289,163575760,7.10993554093875e-05
MCMv3.2,289,169101264,7.10993554093875e-05
MCMv3.2,289,174655632,7.10993554093875e-05
MCMv3.2,289,180237392,7.10993554093875e-05
MCMv3.2,289,185845408,7.10993554093875e-05
MCMv3.2,289,191478160,7.10993554093875e-05
MCMv3.2,289,197134320,7.10993554093875e-05
MCMv3.2,289,202813248,7.10993554093875e-05
MCMv3.2,289,208513584,7.10993554093875e-05
MCMv3.2,289,214234240,7.10993554093875e-05
MCMv3.2,289,219974320,7.10993554093875e-05
MCMv3.2,289,225732816,7.10993554093875e-05
MCMv3.2,289,231508832,7.10993554093875e-05
MCMv3.2,289,234403264,7.10993554093875e-05
MCMv3.2,289,293011968,7.10993554093875e-05
MCMv3.2,289,352535232,7.10993554093875e-05
MCMv3.2,289,412424896,7.10993554093875e-05
MCMv3.2,289,472260576,7.10993554093875e-05
MCMv3.2,289,531719648,7.10993554093875e-05
MCMv3.2,289,590576576,7.10993554093875e-05
MCMv3.2,289,648674304,7.10993554093875e-05
MCMv3.2,289,705905920,7.10993554093875e-05
MCMv3.2,289,762216640,7.10993554093875e-05
MCMv3.2,289,817582336,7.10993554093875e-05
MCMv3.2,289,871994048,7.10993554093875e-05
MCMv3.2,289,925460352,7.10993554093875e-05
MCMv3.2,289,977997632,7.10993554093875e-05
MCMv3.2,289,1029624448,7.10993554093875e-05
MCMv3.2,289,1080366464,7.10993554093875e-05
MCMv3.2,289,1130245504,7.10993554093875e-05
MCMv3.2,289,1179288960,7.10993554093875e-05
MCMv3.2,289,1227523328,7.10993554093875e-05
MCMv3.2,289,1274974208,7.10993554093875e-05
MCMv3.2,289,1321665920,7.10993554093875e-05
MCMv3.2,289,1367624064,7.10993554093875e-05
MCMv3.2,289,1412874880,7.10993554093875e-05
MCMv3.2,289,1457436416,7.10993554093875e-05
MCMv3.2,289,1501331072,7.10993554093875e-05
MCMv3.2,289,1544579200,7.10993554093875e-05
MCMv3.2,289,1587203072,7.10993554093875e-05
MCMv3.2,289,1629222144,7.10993554093875e-05
MCMv3.2,289,1670647424,7.10993554093875e-05
MCMv3.2,289,1711498368,7.10993554093875e-05
MCMv3.2,289,1751792256,7.10993554093875e-05
